NAME,# MENTIONS / 100K WORDS,GENDER
Heather,4618.222629290884,F
Dodge,1624.117958177995,M
Nat,1184.2258027064333,M
Bishop,1091.345347592203,M
Lily,599.8529392794024,F
Anne,450.2122060398096,F
Dayna,357.3317509255795,F
Ray,322.5015802577433,M
Natalie,202.53099240186276,F
Matt,165.12080909196456,M
Krista,134.1606573872212,F
Diggin,91.59044879319909,?
Luke,89.01043615113714,M
Zev,85.14041718804422,M
Donahue,74.82036661979643,M
Ricky,60.630297088455734,M
Bill Kelly,60.630297088455734,M
Sadowski,60.630297088455734,M
Little Kelly,59.34029076742476,M
Ellie,54.18026548330087,F
Vivian,46.44022755711503,M
Carp,43.860214915053085,?
Mrs. Velez,36.12017698886724,F
Delaney,33.5401643468053,M
Graybill,30.960151704743353,M
Bo,27.090132741650436,M
Kirk Finnegan,25.80012642061946,M
Mr. Kelly,23.220113778557515,M
Avery,21.930107457526542,M
Derek Klieg,21.930107457526542,M
Jesus,19.350094815464598,?
Mr. Velez,15.480075852371677,M
Kevin,14.190069531340704,M
Kim Hollister,12.90006321030973,M
Cory Walsh,11.610056889278757,M
Lauren,11.610056889278757,?
Harold,10.320050568247785,M
Dave,10.320050568247785,M
Maureen,9.03004424721681,?
HarperCollins,9.03004424721681,?
Dick,7.740037926185838,M
Columbia Memorial,7.740037926185838,?
Roger,7.740037926185838,M
Larry,6.450031605154865,M
Merl Tracey,6.450031605154865,F
Billy,6.450031605154865,?
Myra,6.450031605154865,F
Byron,6.450031605154865,M
Mike Dickinson,5.1600252841238925,M
Sarah Wilson,5.1600252841238925,?
Coke,5.1600252841238925,?
ASPCA,3.870018963092919,?
Walmart,3.870018963092919,?
Reena,3.870018963092919,F
Heather Lynn,3.870018963092919,?
Big Kelly,3.870018963092919,M
Tigers,2.5800126420619462,?
Tommy O’Hare,2.5800126420619462,?
Mindy Kramer,2.5800126420619462,?
Felix Harte,2.5800126420619462,?
Viv,2.5800126420619462,?
Taco Bell,2.5800126420619462,?
Christy,2.5800126420619462,?
Greg O’Hare,2.5800126420619462,?
Shayna Lambert,2.5800126420619462,?
Buick,2.5800126420619462,?
