NAME,# MENTIONS / 100K WORDS,GENDER,
Clarissa,1009.0240435132,F,
Desi,466.6543049632,F,
Lexie,454.2926015205,M,
Robert,387.8484455158,M,
Jenna,190.061190432,F,
Heather,117.436182706,F,
Slobberin,117.436182706,?,
Mrs. Astin,115.8909697756,F,
Dad,111.2553309846,M,
Ms. Guerrero,78.8058594474,F,
Bryan,60.2633042833,M,
Ramone,44.8111749799,M,
Mrs. Honeycutt,37.0851103282,F,
Nora,30.9042586068,F,
Ms. Crouch,27.8138327462,F,
Mr. Viscount,27.8138327462,M,
Goldman Sachs,26.2686198158,M,
Pacey,26.2686198158,M,
Harney,23.1781939551,F,
GSA,21.6329810248,?,
Jessie,16.9973422338,F,
Facebook,16.9973422338,?,
Carrie,16.9973422338,F,
Bluebird of Happiness Court,16.9973422338,?,
Scarlet Letter,15.4521293034,F,
Beemer,15.4521293034,M,
Mrs. Álvaz,15.4521293034,?,
Ms. Cavendish,13.9069163731,F,
Desiree,13.9069163731,?,
Ty Williams,13.9069163731,M,
Jesus,13.9069163731,M,
Clemmie Atkins,12.3617034427,F,
Simon,10.8164905124,?,
Hal,10.8164905124,M,
Asher,10.8164905124,M,
Cracker Barrel,9.2712775821,?,
Swans & Klons,9.2712775821,?,
Mrs. Martinez,9.2712775821,F,
Robbie,9.2712775821,M,
Señora Modesto,9.2712775821,?,
HOLP,9.2712775821,?,
Mr. Kirchendorfer,7.7260646517,?,
Jessica Morgenstern,7.7260646517,?,
Mr. Havens,7.7260646517,M,
KE Payne,7.7260646517,?,
Greg Herren,6.1808517214,?,
Yan Yan,6.1808517214,?,
Baxter,6.1808517214,M,
Gibbons,6.1808517214,M,
Aeropostale,6.1808517214,?,
Sara,4.635638791,?,
Alexandra,4.635638791,F,
Sharon Hospital,4.635638791,M,
Sam Cameron,4.635638791,?,
Daimler,4.635638791,?,
Mr. Metzger,4.635638791,?,
Barnaby,4.635638791,M,
Parlington High School,4.635638791,?,
Google,4.635638791,?,
Lenin,4.635638791,M,
Mrs. Ganz,4.635638791,?,
David-Matthew Barnes,3.0904258607,?,
"Bold Strokes Books , Inc.",3.0904258607,?
Timothy,3.0904258607,?,
Hector,3.0904258607,?,
Ruth Sternglantz,3.0904258607,?,
Dillinger Four,3.0904258607,?,
Wendy Wu,3.0904258607,?,
YouTube,3.0904258607,?,
Walmart,3.0904258607,?,
Pepsi,3.0904258607,?,
Sheri,3.0904258607,?,
Áine Ní Cheallaigh,3.0904258607,?,
Haileigh Askegaard,3.0904258607,?,
Jennifer Lavoie,3.0904258607,?,
Lev Olsen,3.0904258607,?,
Charmaine Marchesi,3.0904258607,?,
Ramona Hoskins,3.0904258607,?,
