NAME,# MENTIONS / 100K WORDS,GENDER
Stone,4109.964515627199,M
Dasi,843.0316544311017,M
Seligman,635.6073457837306,M
Zohar,483.00231870745023,M
Dov,262.9843913207743,M
Pinky,188.90428108957025,?
Isaac Brilliant,176.31066235026557,M
Julius,138.52980613235152,M
Moshe,135.56660172310336,M
Esther,125.93618739304684,F
Walter,106.67535873293379,M
Federman,91.11853558438095,M
Yossi,88.15533117513279,M
Abi,57.78248598033914,?
David,53.337679366466894,M
God,50.37447495721874,M
Dr. Cohen,49.6336738549067,M
Arab,40.74406062716221,M
Holland,39.26245842253813,M
Fairuza Freij,37.04005511560201,?
Itzy,33.33604960404181,?
Kaddish,27.409640785545488,?
Papa Julius,25.18723747860937,M
Blickstein,25.18723747860937,M
Rosh Hashanah,25.18723747860937,?
Boaz,24.446436376297328,F
Gargiulio,22.964834171673246,F
Mr. Stone,22.964834171673246,M
Henry Street,22.964834171673246,M
Avraham Grunhut,22.22403306936121,M
Jabotinsky,17.779226455488967,?
Whitman,17.038425353176926,F
Columbia,16.297624250864885,?
Emile Alcalai,15.556823148552844,M
Michael Pinsky,14.816022046240805,M
Dr. Xiao,14.816022046240805,?
FBI,14.816022046240805,?
Marcia,13.334419841616723,F
David Street,13.334419841616723,F
Winston Haloumi,13.334419841616723,M
Nazi,13.334419841616723,M
Abraham,12.593618739304684,M
Rabbi Seligman,11.852817636992643,M
Shakespeare,11.852817636992643,M
Eli,11.852817636992643,M
Miller,11.852817636992643,M
Baruch Hashem,11.112016534680604,M
Al-Bassam,10.371215432368563,M
Ishmael,10.371215432368563,M
Akiba,10.371215432368563,M
Matty,10.371215432368563,M
Samson,9.630414330056523,M
Julia,9.630414330056523,F
Beecher Academy,9.630414330056523,M
Irving,8.889613227744483,M
Ehrenkranz,8.889613227744483,?
R. R. Nation,8.148812125432443,M
Muslim,8.148812125432443,M
Henry Ward Beecher,8.148812125432443,M
Arieh,8.148812125432443,M
Hitler,8.148812125432443,M
Randall Roebling Nation,7.408011023120403,M
Mr. Al-Bassam,7.408011023120403,M
Demjanjuk,7.408011023120403,M
Hart Crane,6.667209920808362,M
BQE,6.667209920808362,?
David Hotel,6.667209920808362,M
Abigail Schnitzer,6.667209920808362,F
Amalek,6.667209920808362,?
Irgun,6.667209920808362,?
Mavis,6.667209920808362,F
Ben-Yehuda,5.926408818496322,?
Rav Grunhut,5.926408818496322,?
Barzel,5.926408818496322,?
Supreme Court,5.185607716184282,?
Rabbi Grunhut,5.185607716184282,M
Bank of New York,5.185607716184282,M
Moshe Dayan,5.185607716184282,M
Chase Manhattan Bank,5.185607716184282,M
Bunny,5.185607716184282,M
Meyer Lansky,5.185607716184282,M
Adam,4.444806613872242,?
Kiryat Arba,4.444806613872242,?
Malka,4.444806613872242,?
Yankees,4.444806613872242,?
Arafat,4.444806613872242,M
Don Quixote,4.444806613872242,M
McKim,4.444806613872242,M
Eretz Yisrael,4.444806613872242,?
Rally for Palestine,4.444806613872242,?
Walter Joseph Stone,3.7040055115602013,M
Stupp,3.7040055115602013,?
Bensonhurst Community Initiative,2.963204409248161,?
Matthias,2.963204409248161,M
Hebrew University,2.963204409248161,?
Princip,2.963204409248161,?
Betar,2.963204409248161,?
Avi,2.963204409248161,?
Churchill,2.963204409248161,?
Williamsburg Savings Bank,2.222403306936121,?
Brotherhood Ministries,2.222403306936121,?
Moses Montefiore,2.222403306936121,M
Menachem Wuensch,2.222403306936121,?
Dasi Grunhut,2.222403306936121,?
Solomon Talmudical Academy,2.222403306936121,?
Gibbon,2.222403306936121,?
IDF,2.222403306936121,?
Jonathan Pollard,2.222403306936121,?
Faulkner,2.222403306936121,?
Navy Yard,2.222403306936121,?
Clausewitz,2.222403306936121,?
Islam,2.222403306936121,?
Yitzhak Shamir,1.4816022046240804,?
Josephus,1.4816022046240804,?
Rashi,1.4816022046240804,?
Joe Salem,1.4816022046240804,?
Canaanites,1.4816022046240804,?
Dr. Zeilich,1.4816022046240804,?
Manischewitz,1.4816022046240804,?
Mets,1.4816022046240804,?
New York Jets,1.4816022046240804,?
Hamas,1.4816022046240804,?
Émile Zola,1.4816022046240804,?
Friedrich,1.4816022046240804,?
Nefertiti,1.4816022046240804,?
Maimonides,1.4816022046240804,?
Rowe,1.4816022046240804,?
New York State Supreme Court,1.4816022046240804,?
Joint Terrorism Task Force,1.4816022046240804,?
Athena,1.4816022046240804,?
Freud,1.4816022046240804,?
Mr. Brilliant,1.4816022046240804,?
Avinu Malkeinu,1.4816022046240804,?
Heimlich,0.7408011023120402,M
