NAME,# MENTIONS / 100K WORDS,GENDER
Justine,1604.6948245935127,F
Cobb,390.8417858281477,M
Jack,299.9208870101194,M
Jennifer,265.6779510916412,F
Maines,233.79659696064425,F
Harlows,216.08473355453484,?
Sanders,192.46891567972227,M
Thom,178.29942495483476,M
Del Rio,166.49151601742847,F
Johnson,149.9604435050597,M
Tommy,148.77965261131905,M
Paul,136.97174367391278,M
Carmine,135.79095278017215,M
Mo-bot,134.61016188643154,?
Terry Graves,132.24858009895027,M
Hernandez,122.80225294902526,M
Fescoe,116.89829848032213,M
Sci,112.17513490535961,?
Camilla Bronson,107.4519713303971,?
Anita,98.00564418047207,F
Miguel,90.92089881802832,M
Bobbie Newton,90.92089881802832,F
Carpenter,90.92089881802832,M
Nickerson,88.55931703054706,M
Cruz,83.83615345558455,M
Watson,80.29378077436267,M
Gomez,74.38982630565953,M
Carla,63.762708261993886,F
Adelita,57.858753793290745,M
FBI,56.67796289955012,?
Malia,54.31638111206886,M
Leona Casa Madre,51.95479932458761,F
Kelleher,51.95479932458761,M
Stella,49.593217537106355,F
Cordova,48.41242664336573,M
Fox,42.508472174662586,M
Dave,40.14689038718134,M
Cammarata,37.78530859970008,M
Wilson,36.60451770595945,M
Jin,36.60451770595945,?
Harlow-Quinn,36.60451770595945,?
Townsend,34.242935918478196,M
Wilkerson,34.242935918478196,M
Wills,31.881354130996943,F
Maureen,30.700563237256315,F
Rankin,30.700563237256315,M
Kloppenberg,27.15819055603443,?
Angela,27.15819055603443,F
Hayes,27.15819055603443,M
Warren,25.977399662293806,M
Harry,25.977399662293806,M
Mel,24.796608768553178,M
N.P.,23.61581787481255,?
Roberto,22.43502698107192,M
Mrs. Wanta,22.43502698107192,F
Billy Blaze,22.43502698107192,M
Jen,22.43502698107192,F
Guin,21.254236087331293,?
McCormick,20.07344519359067,M
Jacinta Feliz,18.89265429985004,F
Watts,18.89265429985004,M
LAPD,18.89265429985004,?
Sheila Vicente,17.711863406109412,?
Goldberg,17.711863406109412,?
Taliban,16.531072512368784,?
Crossfit,16.531072512368784,?
Mary,16.531072512368784,F
Alice,15.350281618628157,F
Maria Toro,15.350281618628157,F
Warner,15.350281618628157,M
Ziegler,15.350281618628157,M
Stern,15.350281618628157,M
Antonio,14.16949072488753,?
Mr. Morgan,12.988699831146903,M
Ronny,12.988699831146903,M
Hunter,12.988699831146903,M
Katherine Clarkson,12.988699831146903,F
Darlene,12.988699831146903,F
Sandy,11.807908937406275,?
Commerce,11.807908937406275,?
Clay Harris,11.807908937406275,M
Héctor Ramón,11.807908937406275,?
Knight,11.807908937406275,M
Vega,11.807908937406275,M
ESH Ltd,11.807908937406275,?
Mr. Sanders,9.44632714992502,M
Hollings,9.44632714992502,?
North,9.44632714992502,?
YouTube,8.265536256184392,?
Allen,8.265536256184392,M
Facebook,8.265536256184392,?
CVS,8.265536256184392,?
Google,8.265536256184392,?
UCLA Medical Center,7.084745362443765,?
Ruby,7.084745362443765,?
Greer,7.084745362443765,?
Bonaventure,7.084745362443765,M
Robby Eden,7.084745362443765,?
Mr. Del Rio,5.903954468703137,M
Harvard Business School,5.903954468703137,?
Anderson Cooper,5.903954468703137,?
Nicholson,5.903954468703137,M
Ms. Smith,5.903954468703137,F
Gozan Remari,5.903954468703137,?
Mattie Engel,5.903954468703137,M
ESH Ltd.,5.903954468703137,?
Carlos,5.903954468703137,?
Lakers,4.72316357496251,?
Rosa,4.72316357496251,?
DEA,4.72316357496251,?
Caymans,4.72316357496251,?
Khezir Mazul,4.72316357496251,?
Feds,4.72316357496251,?
JSOC,4.72316357496251,?
Tandy,4.72316357496251,?
PayPal,4.72316357496251,?
Thorogood,4.72316357496251,?
Toyota,4.72316357496251,?
Ms. Fontana,4.72316357496251,F
Starbucks,3.5423726812218823,?
Sam,3.5423726812218823,?
L.A. Standard Demolition,3.5423726812218823,?
Lange,3.5423726812218823,?
Judy,3.5423726812218823,F
Ms. Bronson,3.5423726812218823,?
Seymour,3.5423726812218823,?
Jalisco State Police,3.5423726812218823,?
Richard,3.5423726812218823,?
Clive Johnson,3.5423726812218823,?
Marilyn Monroe,3.5423726812218823,?
Ms. Maines,3.5423726812218823,F
NRA,3.5423726812218823,?
Thomas Morgan,3.5423726812218823,?
Carlton,3.5423726812218823,?
Mrs. Harlow,2.361581787481255,?
Dartmouth,2.361581787481255,?
Mr. Blaze,2.361581787481255,?
Al Qaeda,2.361581787481255,?
Dodgers,2.361581787481255,?
Ms. Roth,2.361581787481255,?
Congress,2.361581787481255,?
House,2.361581787481255,?
Mr. Harlow,2.361581787481255,?
Denton Nickerson,2.361581787481255,?
Sumar,2.361581787481255,?
Albert Watson,2.361581787481255,?
