NAME,# MENTIONS / 100K WORDS,GENDER
Bo,1313.2956258301372,M
Casey,1284.94037936335,M
Ryan,817.8250033578581,M
Maggie,583.5211246586177,F
Amber,525.3182503320548,?
Terry,474.57728297043593,M
Jenna,229.826734520274,F
Lanie,185.05529273061023,M
Donny Sneed,117.89813004611459,M
Renfroe,92.52764636530512,M
Mrs. Gilroy,89.54288357932754,F
Merc,56.7104929335741,?
Dave,46.26382318265256,M
Austin,44.77144178966377,?
Texicon,40.29429761069739,?
Houston Med Center,34.32477203874222,M
Tony Stark,26.86286507379826,M
Dad,26.86286507379826,M
Carl,26.86286507379826,M
Principal Baker,26.86286507379826,M
Collins,25.370483680809468,M
Jack,23.878102287820674,M
Spidey,23.878102287820674,?
Mr. Gilroy,20.89333950184309,M
Manny,19.400958108854297,M
Hadar,16.416195322876714,M
MJ,14.923813929887922,M
Corey Chambers,13.43143253689913,M
Morris,13.43143253689913,M
Billy Compton,11.939051143910337,M
ANDERSON,11.939051143910337,M
Oak View,10.446669750921545,?
Ima Hogg,10.446669750921545,?
Avengers,10.446669750921545,?
Bryce,10.446669750921545,M
BJ,8.954288357932754,M
Sephora,8.954288357932754,?
Mamaw Nell,7.461906964943961,F
Miss Samuels,7.461906964943961,F
Ms. Velasco,7.461906964943961,?
Hunter Thompson,7.461906964943961,M
Betsy,5.9695255719551685,F
darlin,5.9695255719551685,?
Congress,5.9695255719551685,?
Olivia,5.9695255719551685,?
"Soho Press , Inc.",5.9695255719551685,?
Zeke,5.9695255719551685,M
Herod,4.477144178966377,?
DMV,4.477144178966377,?
Mr. Samuels,2.9847627859775843,?
Emergency Center,2.9847627859775843,?
Nixon,2.9847627859775843,?
A. Velasco,2.9847627859775843,?
Mother Teresa,2.9847627859775843,?
