NAME,# MENTIONS / 100K WORDS,GENDER
Pete,1083.494238171957,M
Alex,934.6828842346054,M
Diana,516.5352781296504,F
Stephan,409.5386848027942,M
Giselle,380.0223831953856,F
Will,377.56269139476825,M
Brandt,373.87315369384214,M
Forrest,276.71532756945555,M
Vali,238.59010465988612,F
Leland,227.5214915571079,M
Miss Hallstead,204.15441945124275,F
Macy,186.93657684692107,M
Summerplace,146.35166213673426,?
Valentina,82.39967532068232,F
Alan,52.88337371327373,?
Emery,39.35506880987812,M
Boldt Castle,36.89537700926074,M
Solstice,31.975993408025975,?
George Boldt,27.056609806791208,M
Johnston,23.367072105865134,M
Paul Malo,18.44768850463037,M
Alex. I,15.987996704012987,F
Colette,14.758150803704297,F
Louise,13.528304903395604,F
Heather Island,13.528304903395604,F
Simone,13.528304903395604,F
Lawrence River,12.298459003086913,?
HSH,12.298459003086913,?
Marianne Stoddard,12.298459003086913,F
Aunt Alex,11.068613102778222,?
Bill Johnston,11.068613102778222,M
Coast Guard,8.608921302160839,M
Hallstead House,8.608921302160839,?
Hélène,6.149229501543457,?
Mr. Harper,4.919383601234765,M
Mr. Hart,4.919383601234765,M
Walter Scott,4.919383601234765,M
Frederick Bourne,4.919383601234765,M
Power House,3.689537700926074,?
Pullman,3.689537700926074,M
Fred,3.689537700926074,?
Mr. Marks,2.4596918006173825,?
Alex. How,2.4596918006173825,?
Lily,2.4596918006173825,?
Van Buren,2.4596918006173825,?
Joe,2.4596918006173825,?
Alex Hallstead,2.4596918006173825,?
Miss Stoddard,2.4596918006173825,?
