NAME,# MENTIONS / 100K WORDS,GENDER
Alyssa,2369.824599989003,F
Brennan Craft,1196.8255713788237,M
Al Yad,986.0523084254321,M
Martin,682.7220908707685,M
Turco,280.42008027712103,M
Haddad,213.52247942669672,M
Patel,169.535015853815,M
Grant,140.21004013856052,M
Bahar,134.7116071919503,M
Bren,125.54755228093326,F
Wacksman,103.5538204944924,M
Elovic,101.721009512289,M
Salib,95.30617107457708,M
Ridley,75.14525027033962,M
Najjar,73.31243928813622,M
God,68.7304118326277,M
GQ,52.235112992797056,?
Ahmad,48.56949102839024,M
Ahn,36.65621964406811,M
Allah,31.15778669745789,M
Bernard Haisch,29.324975715254485,M
Aziz,27.49216473305108,M
Haas,20.16092080423746,M
Gorgas,16.49529883983065,M
Volkov,16.49529883983065,M
Tom Manning,12.829676875423838,M
Major Elovic,11.913271384322135,M
Eyal,10.08046040211873,M
McDilda,10.08046040211873,M
Lawrence,9.164054911017027,?
Jesus,9.164054911017027,M
Schram,8.247649419915325,M
Moses,7.331243928813621,M
Hitler,7.331243928813621,M
Eli,6.414838437711919,M
Asimov,6.414838437711919,M
Gulfstream,6.414838437711919,?
Shaitan,6.414838437711919,?
Informatics Solutions,5.498432946610216,?
NASA,5.498432946610216,?
Roger,5.498432946610216,?
Covington,5.498432946610216,M
Superman,5.498432946610216,M
FDA,4.582027455508514,?
Kobayashi,4.582027455508514,M
Bobkoski,4.582027455508514,?
Starbucks,4.582027455508514,?
Air Force,4.582027455508514,?
Robert Freund,3.6656219644068107,M
Indiana University,3.6656219644068107,?
Keillor,3.6656219644068107,?
Boeing Business Jet,2.749216473305108,?
NSA,2.749216473305108,?
Carl,2.749216473305108,?
Bluegrass Waffle House,2.749216473305108,?
Catholic,1.8328109822034053,?
Jeremy,1.8328109822034053,?
Steve Jobs,1.8328109822034053,?
Elvis,1.8328109822034053,?
State Department,1.8328109822034053,?
Mr. Martin,1.8328109822034053,?
University of Kansas,1.8328109822034053,?
Jane Doe,1.8328109822034053,?
Tom Collins,1.8328109822034053,?
Einstein,1.8328109822034053,?
John Smith,1.8328109822034053,?
Coke,1.8328109822034053,?
