NAME,# MENTIONS / 100K WORDS,GENDER
Georgie,3224.309271595501,M
Neal,2601.8346620072075,M
Heather,1348.6949874413017,F
Alice,873.6485748607622,F
Seth,855.902588183903,M
Margaret,143.3329693130938,F
Dawn,143.3329693130938,F
Scotty,113.3012995522551,M
Noomi,98.28546467183575,?
Kendrick,80.53947799497652,M
Alison,43.682428743038116,F
Jeff,42.317352844818174,M
Jesus,27.30151796439882,?
Porky,25.93644206617888,?
Grandma,23.206290269738997,F
Estelle,21.841214371519058,F
Petunia,21.841214371519058,?
Christ,19.111062575079174,M
Trev,17.745986676859232,?
Breanna,16.380910778639294,F
Maher Jafari,16.380910778639294,M
Rahul,13.65075898219941,M
Metallica,10.920607185759529,?
Whit,10.920607185759529,M
Paul,9.555531287539587,M
Mikey,6.825379491099705,?
Jay Anselmo,6.825379491099705,M
Ludy,6.825379491099705,?
Peace Corps,5.4603035928797645,?
Maggie Simpson,5.4603035928797645,?
Coke,5.4603035928797645,?
Zima,5.4603035928797645,?
Newt Gingrich,5.4603035928797645,M
Chloe,5.4603035928797645,F
Angelo,4.095227694659823,?
Harry Potter,4.095227694659823,?
Liz,4.095227694659823,?
Dale,4.095227694659823,M
Henry,4.095227694659823,?
Google,4.095227694659823,?
Robin Williams,4.095227694659823,?
Barney Miller,4.095227694659823,?
Doc Martens,4.095227694659823,M
Pamela,2.7301517964398823,?
IKEA,2.7301517964398823,?
Mike,2.7301517964398823,?
CMYK,2.7301517964398823,?
Samuel L. Jackson,2.7301517964398823,?
Asperger,2.7301517964398823,?
Marty McFly,2.7301517964398823,?
House,2.7301517964398823,?
Mr. Grafton,2.7301517964398823,?
Amy Sherman-Palladino,2.7301517964398823,?
