NAME,# MENTIONS / 100K WORDS,GENDER
Fox,2198.9699991825,M
Cat,1149.5544837734,F
Alice,961.5384615385,F
Catherine,939.0582849669,F
Matt,528.2841494319,M
Mary,379.0975230933,F
James,370.9229134309,M
Harry,355.5955203139,M
Ben,330.0498651189,M
Woods,134.8810594294,F
Nathaniel,129.7719283904,M
Thomas,78.6806180005,M
Anglya,59.2659200523,?
Siberene,55.1786152211,F
Samuel,41.8948745197,M
Anglyan,39.8512221041,?
Marcus,36.7857434807,M
Miss Catherine,33.7202648574,F
Andrew,33.7202648574,M
Miss Kasey,25.545655195,F
Greystone,24.5238289872,?
Gareth,21.4583503638,M
Sophie,20.436524156,F
Sam,19.4146979482,M
Benny,18.3928717404,M
Alexander,18.3928717404,M
Finnegan,16.3492193248,M
Mother,15.327393117,F
William,14.3055669092,M
Tellus,13.2837407014,?
Erova,13.2837407014,?
Mericus,13.2837407014,?
Mattie,10.218262078,M
Maggie,10.218262078,F
John,9.1964358702,M
Greaves,9.1964358702,M
Christopher,7.1527834546,M
Danley,7.1527834546,?
Mr Perkins,7.1527834546,M
Meyers,6.1309572468,M
Jennings,6.1309572468,M
Connor Jackson,6.1309572468,M
Kasem,6.1309572468,?
Lord Hunter,5.109131039,M
Kentridge,5.109131039,?
Dalivia,5.109131039,?
Matthew,4.0873048312,?
McCrae,4.0873048312,M
Syvana,3.0654786234,?
Bloomsbury Publishing Plc,2.0436524156,?
Grange,2.0436524156,?
Southwest,2.0436524156,?
Barton,2.0436524156,?
Mrs Bates,2.0436524156,?
