NAME,# MENTIONS / 100K WORDS,GENDER
Adam,4946.1805752057135,M
Gillian,1544.974024063112,F
Casey,986.9724168373872,M
Ethan,688.1642539416645,M
Brad,486.6951138074272,M
Boy Casey,224.10612217179207,M
Hazel,203.73283833799277,F
Kelsey,173.17291258729387,F
Jackie,139.21743953096174,F
Nadia,116.58045749340698,F
Jimmy,79.22943713144164,M
Claire,63.38354970515331,F
Kate,61.11985150139783,F
Agnes,58.85615329764236,F
Lionel,58.85615329764236,M
Colin,55.46060599200914,M
Calypso,54.32875689013141,?
Sam,50.933209584498194,M
Rachel,47.53766227886498,F
Heather,46.405813176987245,F
Schuyler,45.273964075109504,?
Matt,43.01026587135403,M
Luke,39.61471856572082,M
Lauren,33.95547305633213,F
Fletcher,32.82362395445439,M
Erica,31.691774852576653,F
Carlisle,24.90068024131023,M
Stephen,23.76883113943249,M
Alice,22.636982037554752,F
Nelly Chua,22.636982037554752,M
Julia,22.636982037554752,F
Roxanne,21.505132935677015,F
Smith,19.24143473192154,M
bush,18.109585630043803,F
Sandy,18.109585630043803,F
Mark,18.109585630043803,M
Mags Mumford,14.71403832441059,M
M. Night Shyamalan,14.71403832441059,M
Columbia,13.582189222532852,?
Facebook,12.450340120655115,?
Jesus,11.318491018777376,?
Aiden,10.186641916899639,M
Jordan,10.186641916899639,M
Andrea,10.186641916899639,?
Craigslist,9.054792815021901,?
Stephanie,9.054792815021901,F
Rory,9.054792815021901,M
Devon,9.054792815021901,M
Tegan,7.922943713144163,?
Coke,7.922943713144163,?
Riverrun,7.922943713144163,?
Marvin,6.791094611266426,M
Jacob,6.791094611266426,?
Schrag,6.791094611266426,?
Lucile,6.791094611266426,F
Dana,6.791094611266426,F
Chaz,6.791094611266426,M
Sara,6.791094611266426,F
Mr. Stewart,6.791094611266426,M
Max,6.791094611266426,M
David,5.659245509388688,?
Jolene,5.659245509388688,?
Christine,5.659245509388688,F
Chaim Potok,5.659245509388688,M
Adidas,5.659245509388688,?
Alex,5.659245509388688,?
Blaise,4.527396407510951,M
Duane Reade,4.527396407510951,M
YouTube,4.527396407510951,?
Tina,4.527396407510951,F
Kandis,4.527396407510951,?
Donna Haraway,4.527396407510951,F
Dick,4.527396407510951,?
Starbucks,3.395547305633213,?
Butch Casey,3.395547305633213,M
Susan,3.395547305633213,?
FTM,3.395547305633213,?
Tom Cruise,3.395547305633213,M
Finley,3.395547305633213,?
YMCA,3.395547305633213,?
NYU,2.2636982037554754,?
Lara,2.2636982037554754,?
LINDSEY,2.2636982037554754,?
Orioles,2.2636982037554754,?
Skype,2.2636982037554754,?
Eugene Lang,2.2636982037554754,?
Leo,2.2636982037554754,?
Francesca diSessa,2.2636982037554754,?
Patrik Ervell,2.2636982037554754,?
Richard,2.2636982037554754,?
Jennifer,2.2636982037554754,?
Brownstein,2.2636982037554754,?
Danny,2.2636982037554754,?
Google,2.2636982037554754,?
Caseys,2.2636982037554754,?
