NAME,# MENTIONS / 100K WORDS,GENDER
Lucy,1438.4364820846906,F
Joe,617.5895765472312,M
Benedict,502.9315960912052,M
Jenny,351.79153094462544,F
Ida,343.97394136807816,F
Maggie,330.94462540716614,F
Francis,299.6742671009772,M
Bethy,297.0684039087948,M
Sadie,297.0684039087948,F
Samson,203.25732899022802,M
Dr. Haddad,203.25732899022802,M
Al,187.62214983713355,M
David,161.56351791530943,M
Lilly,140.71661237785017,F
Shirley,140.71661237785017,F
Sophie,135.50488599348535,F
Jack,130.29315960912052,M
Hope,130.29315960912052,F
Dr. Stimson,93.81107491856677,M
Maurie,88.59934853420195,M
Nora,85.99348534201954,F
Ilka,75.57003257328991,?
Phyllis,72.9641693811075,F
Sam,70.35830618892508,M
Poldi,67.75244299674267,?
Salman Haddad,65.14657980456026,M
Jeff,62.54071661237785,M
Mr. Bernstine,59.93485342019544,M
Marta,52.11726384364821,F
Bertie,46.90553745928339,M
Deb,41.693811074918564,?
Charley,41.693811074918564,M
Mr. Gorewitz,39.08794788273616,M
Shari,36.48208469055375,F
Sammy,36.48208469055375,M
Jeremy,36.48208469055375,M
Deborah,33.876221498371336,F
Freddy,33.876221498371336,M
Gretel,33.876221498371336,F
Angie,31.270358306188925,F
Ulla,28.664495114006513,F
Berta,28.664495114006513,M
Margaret West,28.664495114006513,F
Frank Sinatra,28.664495114006513,M
Sally,26.058631921824105,F
Herbie,26.058631921824105,M
Ms. Brooks,26.058631921824105,F
Mrs. Farkasz,23.452768729641694,F
Ms. Claudia Haze,20.846905537459282,F
George,20.846905537459282,M
Seymour,20.846905537459282,M
Mr. Warren,20.846905537459282,M
Luba,20.846905537459282,?
Anstiss Adams,20.846905537459282,?
Kastel Street,18.241042345276874,?
Kari,18.241042345276874,F
James,15.635179153094462,M
Vivian L. Levi Pavilion,15.635179153094462,M
Jennifer,15.635179153094462,F
Miklos,15.635179153094462,?
Herta,15.635179153094462,M
Katherine,15.635179153094462,F
Patrice,15.635179153094462,F
Stevie,15.635179153094462,?
Mr. Rhinelander,15.635179153094462,M
Mrs. Pontefiore,15.635179153094462,F
Lisa,15.635179153094462,?
Beth,13.029315960912053,?
Sid,13.029315960912053,M
Stephen,10.423452768729641,?
Tola,10.423452768729641,?
Dave,10.423452768729641,M
Stacey,10.423452768729641,?
Max,10.423452768729641,?
Supreme Court,7.817589576547231,?
Steven,7.817589576547231,?
Jeffery,7.817589576547231,M
Jonathan,7.817589576547231,M
Roget,7.817589576547231,?
Joey,7.817589576547231,?
Nazis,5.2117263843648205,?
Dante,5.2117263843648205,?
Camerons,5.2117263843648205,?
Clarence,5.2117263843648205,?
Ben,5.2117263843648205,?
Eileen Cameron,5.2117263843648205,?
Hitler,5.2117263843648205,?
Concordance Institute,5.2117263843648205,?
Coke,5.2117263843648205,?
Dr. Erwin,5.2117263843648205,?
