NAME,# MENTIONS / 100K WORDS,GENDER
Ivy Jane,841.1512825131992,F
Vasic,835.6082757091584,M
Kaleb,595.1803555838865,M
Sascha,319.4157670828541,M
Aden,284.77197455759875,M
Abbot,244.5851752283026,M
Jaya,203.0126241979962,F
Sahara,183.61210038385323,M
Judd,181.5334728323379,M
Rabbit,178.76196943031746,M
Zie Zen,164.21157656971025,M
Alice,148.2754320080928,F
Lucas,123.33190138990895,M
Samuel Rain,121.94614968889874,M
Hawke,105.31712927677619,M
Arrows,102.54562587475576,?
Gwen,89.38098471515873,F
Ming,74.8305918545515,M
Psy,73.44484015354129,F
Edgard,73.44484015354129,M
Ida Mill,69.28758505051064,F
Eben,60.28019899394427,M
Isaiah,42.265426880811496,M
Anthony,38.801047628285964,M
Lianne,36.722420076770646,?
Nikita,28.407909870709368,F
Santos,24.943530618183832,M
Keenan,23.55777891717362,M
Miguel,23.55777891717362,M
Concetta,23.55777891717362,F
Clara,21.4791513656583,F
Amin,20.786275515153196,M
DarkRiver,17.32189626262766,?
Chang,16.629020412122557,M
Rayland Faison,16.629020412122557,M
Ben,15.243268711112343,M
Patton,14.550392860607236,M
Stefan,13.164641159597023,M
Marlee,11.77888945858681,F
Carter,11.086013608081704,M
Sienna,11.086013608081704,?
Jax,10.393137757576598,?
Ashaya,10.393137757576598,?
Dev Santos,9.700261907071491,M
Dara Faison,9.007386056566384,M
Riley,8.314510206061279,M
Cristabel,7.621634355556171,?
Dorian,6.928758505051065,M
Brigitte,6.235882654545958,?
Naya,4.8501309535357455,?
Phillip Kilabuk,4.157255103030639,M
Miki Ling,4.157255103030639,M
Ella,4.157255103030639,?
Zaira,3.4643792525255326,?
Harriet,3.4643792525255326,F
Alejandro,3.4643792525255326,M
Ray,3.4643792525255326,M
Amara,2.771503402020426,?
Ms. Mill,2.771503402020426,F
Samantha,2.771503402020426,F
Cris,2.771503402020426,?
Brenna,2.0786275515153196,?
Nerida,1.385751701010213,?
Cory,1.385751701010213,?
