NAME,# MENTIONS / 100K WORDS,GENDER
Meg,972.554798305397,F
Noah,443.9123227113649,M
Aubrey,421.8088045680604,M
Dad,331.55277214956715,M
Mom,326.02689261374104,F
Talia,302.0814146251612,M
Dignityville,263.4002578743783,F
Dan,232.086940504697,M
Ron,230.24498065942163,M
Ben,101.30779149014552,M
Oscar,84.73015288266716,M
Ms. Mitchell,81.04623319211642,F
Tory,71.83643396573954,M
Mr. Purcellen,58.942715048811934,M
George,58.942715048811934,M
Mason,53.41683551298582,M
Aunt Julie,49.73291582243507,F
Lisa,47.8909559771597,F
Buddha,46.04899613188432,M
Mike,44.207036286608954,M
Ms. Reuben,42.36507644133358,F
Diane,40.52311659605821,F
Ike,38.68115675078283,M
Ruby,38.68115675078283,F
Zach,36.83919690550746,M
Mrs. Collins,34.99723706023209,F
Fred,33.15527721495671,M
Wade,33.15527721495671,M
Olivia,31.31331736968134,F
Rice,27.629397679130594,M
Joel,27.629397679130594,M
Stella,27.629397679130594,F
Buzzuka Joe,25.787437833855222,M
Dr. Williams,23.94547798857985,M
Tyler,22.103518143304477,M
Staci,20.261558298029104,F
Mona,18.41959845275373,F
Mr. Halprin,16.577638607478356,?
Alicia,16.577638607478356,F
Blanche DuBois,16.577638607478356,F
Starbucks,14.735678762202983,?
Ms. DiRusso,14.735678762202983,F
Huskies,12.893718916927611,?
Paul,12.893718916927611,M
Todd Strasser,11.051759071652238,?
Derek,11.051759071652238,?
Justin,11.051759071652238,M
Wally,11.051759071652238,?
Susan Barrow,11.051759071652238,F
Buder,11.051759071652238,?
Victor,11.051759071652238,M
Stephen,7.367839381101492,?
Phillipa,5.525879535826119,?
Farmer Joe,5.525879535826119,M
Jen,5.525879535826119,F
Carrie,5.525879535826119,?
Mr. Smith,5.525879535826119,?
Coke,3.683919690550746,?
Clayton,3.683919690550746,?
