NAME,# MENTIONS / 100K WORDS,GENDER
Jonas,1278.0577799762036,M
Sabine,352.9364580687424,F
Isis,324.8619670860015,F
Omega,324.8619670860015,?
Ant,286.09243191935934,?
Corp,164.43630432748225,F
Mage,143.04621595967967,?
Lynx,129.67741072980309,?
Anthem,125.66676916084009,?
Al,124.32988863785243,M
Pixel,108.28732236200051,?
Wraith,81.5497119022473,?
CRC,44.1170572585928,?
Ell,38.76953516664216,M
Pax,13.368805229876607,?
Corp.,13.368805229876607,?
Emma Trevayne,9.358163660913624,F
Lisa Cheng,6.684402614938303,F
