NAME,# MENTIONS / 100K WORDS,GENDER
Devin,4294.270190170412,M
Luke,886.0212398122993,M
Malloy,623.6107680908866,M
Mrs. Babbage,566.4979007162262,F
Kit,529.4517164732033,F
Ansel,174.42578414423315,M
Karen,101.87700666831316,F
Vanessa,95.70264262780934,F
Gabriel Penn,95.70264262780934,M
Caspar,67.91800444554211,?
Frisker,49.39491232403063,?
Missie,43.220548283526796,?
Pavel,40.13336626327488,M
Jared,40.13336626327488,M
Megs,38.58977525314893,?
Darwin,37.04618424302297,M
Gabe,23.153865151889356,M
Pesk,16.979501111385527,?
Glancer,15.43591010125957,?
Corey,15.43591010125957,M
Dev,10.805137070881699,M
Gabriel Penn.,10.805137070881699,M
Tania Unsworth,7.717955050629785,?
Mr. Penn,7.717955050629785,M
