NAME,# MENTIONS / 100K WORDS,GENDER
Viviane,901.298553365987,M
Jack,657.8197972434218,M
Gabe,654.9720924934503,M
Emilienne,650.700535368493,M
Henry,532.5207882446748,M
Wilhelmina,435.69882674564303,F
Laura Lovelorn,269.1080988723089,F
Rowe,240.6310513725937,M
John Griffith,202.18703724797814,M
Cardigan,192.2200706230778,M
Beauregard,150.9283517484907,M
Nathaniel,143.8090898735619,M
Connor,138.11368037361888,M
Beatrix,136.6898279986331,F
Pinnacle Lane,99.6696662490033,M
Penelope,96.82196149903179,F
Marigold,84.00729012415992,?
Delilah,78.31188062421688,F
René,71.19261874928807,?
Levi Blythe,55.530242624444696,F
Margaux,48.41098074951589,M
bush,48.41098074951589,F
Trouver,46.98712837453013,?
Fatima Inês,39.86786649960132,?
Whitman College,38.44401412461556,F
Mrs. Barnaby Callahoo,35.596309374644036,F
Iris,34.17245699965827,F
Ignatius Lux,34.17245699965827,M
Pierette,34.17245699965827,?
Constance,32.74860462467252,?
Ava,32.74860462467252,F
Maman,27.053195124729466,?
Zeb Cooper,25.629342749743707,M
Emilienne Lavender,22.781637999772183,M
Jeremiah,19.93393324980066,M
Vivi,18.5100808748149,?
William Peyton,17.086228499829136,M
Catholic,11.390818999886092,?
Moss,11.390818999886092,?
Mary,9.96696662490033,F
Le Havre,9.96696662490033,?
Amos Fields,8.543114249914568,M
Rita Hayworth,7.1192618749288075,?
Estelle Margolis,5.695409499943046,?
Leslye Walton,5.695409499943046,?
Kiwanis Key Club,5.695409499943046,?
Mart Flannery,5.695409499943046,M
Veronica Lake,4.271557124957284,?
Coopers,4.271557124957284,?
Coke,2.847704749971523,?
Candlewick Press,2.847704749971523,?
Pier Gustafson,2.847704749971523,?
