NAME,# MENTIONS / 100K WORDS,GENDER
Jane,4777.2086639215295,F
Bergen,1529.9119547387097,M
Walsh,1082.432236394273,M
Varma,631.6047894836687,M
Compton,322.49785187417007,M
Gibbs,241.03645676408556,M
Ei’Brai,206.44326158035108,?
Sectilius,73.65002845569282,?
Bonham,53.563657058685685,M
Johnson,42.40456183812616,M
Dr. Bergen,37.94092374990236,M
Speroancora,21.20228091906308,?
Jesus,21.20228091906308,M
NASA,21.20228091906308,?
Berg,17.854552352895226,M
Daddy,14.506823786727372,M
EMU,13.390914264671421,M
Sam,13.390914264671421,M
Quasador Dux,13.390914264671421,?
Doc,12.275004742615469,?
Mensententia,11.159095220559516,?
Ron,11.159095220559516,?
Anipraxia,8.927276176447613,?
Brian,7.811366654391662,M
Ronald,7.811366654391662,M
Thomas,7.811366654391662,M
Dr. Varma,5.579547610279758,?
Atielle,5.579547610279758,?
Sectilia,5.579547610279758,?
Rageth,5.579547610279758,?
Mission Control,5.579547610279758,?
JPL,4.4636380882238065,?
Gubernaviti,4.4636380882238065,?
Marshall,3.3477285661678553,?
Barnabas,3.3477285661678553,M
EMP,2.2318190441119032,?
HUD,2.2318190441119032,?
PLSS,2.2318190441119032,?
Pollux,2.2318190441119032,?
Kev,2.2318190441119032,?
Jane Augusta Holloway,2.2318190441119032,?
Dr. Walsh,2.2318190441119032,?
Gretel,2.2318190441119032,?
gore,2.2318190441119032,?
