NAME,# MENTIONS / 100K WORDS,GENDER
Braden,1917.4790143514758,M
Gage,663.4172759274303,M
Evan,438.3292715949093,M
Linda,433.2520985648524,F
Charlie,235.2423503926347,M
Nathan,147.23801787164908,M
Skye,138.7760628215543,F
Antonia,69.38803141077715,F
Susie,55.84890333062551,F
Dave,55.84890333062551,M
Dustin,30.463038180341186,M
George,18.616301110208504,M
Kasie West,16.92391010018955,F
Fredrick,16.92391010018955,M
Lauren,16.92391010018955,F
HarperCollins,13.539128080151638,?
Savannah,11.846737070132683,F
Charles,11.846737070132683,?
Carol,10.15434606011373,?
Chloe,10.15434606011373,F
Henry,6.769564040075819,M
Lou,5.077173030056865,?
Giants,5.077173030056865,?
Cubs,5.077173030056865,?
UNLV,3.3847820200379095,?
Jared,3.3847820200379095,?
