NAME,# MENTIONS / 100K WORDS,GENDER
Ben,1557.5642707877728,M
Echo Leveaux,394.8583369781795,F
Kylie,358.4098751032706,F
Leveaux,126.35466783301744,F
Brayden,112.99023181221753,M
Jesus,71.68197502065412,M
Dad,69.25207756232687,M
Benji,65.60723137483598,M
Bray,51.02784662487243,M
Oz,47.38300043738154,M
Marcus,40.093308062399764,M
Will,37.66341060407251,F
Vance,35.23351314574525,M
Atticus,27.943820770763473,M
Grandma,26.728872041599846,F
Benjamin,23.08402585410896,M
Mim,20.654128395781697,?
Mike,20.654128395781697,M
Nell,15.79433347912718,F
Becca,12.149487291636293,F
Dr. Lane,12.149487291636293,M
Abby,10.934538562472664,F
Mother,8.504641104145405,?
YouTube,7.289692374981776,?
Vanderbilt,7.289692374981776,?
Benny,7.289692374981776,?
Doc Petersen,7.289692374981776,?
Donne,7.289692374981776,?
Jim Beam,7.289692374981776,M
Silverado,4.859794916654518,?
Harris Mountain Boys,4.859794916654518,?
Miss Leveaux,4.859794916654518,?
ESPN,3.644846187490888,?
Nick,3.644846187490888,?
Fannie Mae Dees Park,3.644846187490888,?
Dr. Petersen,3.644846187490888,M
NFL,3.644846187490888,?
Calloways,3.644846187490888,?
Henry Lee,2.429897458327259,?
Garth Brooks,2.429897458327259,?
Brantley Gilbert,2.429897458327259,?
Pam,2.429897458327259,?
Mr. Dorsey,2.429897458327259,?
Alan Jackson,2.429897458327259,?
George Strait,2.429897458327259,?
