NAME,# MENTIONS / 100K WORDS,GENDER
Mathilda,350.5740442288202,F
Lonnie,328.9746955322578,M
Hank,255.8692076362005,M
Thomas,215.99348696562382,M
Houdini,186.08669646269126,M
Nolan,135.4113014438334,M
Maxim,135.4113014438334,M
Cherrah,127.10385963746324,F
Gray Horse Army,87.22813896688653,M
Archos,78.9206971605164,?
Rob,68.95176699287221,M
Mikiko,68.1210228122352,F
Leonid,62.3058135477761,M
Timmy,60.644325186502066,M
Takeo,58.15209264459102,M
Cormac,56.490604283317,M
Arayt,52.33688338013192,M
Felix,52.33688338013192,?
George,51.50613919949491,M
Lark,47.352418296309835,?
Gracie,46.521674115672816,F
Howard,41.53720903185073,M
Sherman,34.89125558675462,M
Mr. Nomura,28.2453021416585,M
Tenkiller,28.2453021416585,M
Jack,27.414557961021483,M
Vasily,24.091581238473424,?
Chen,23.260837057836408,?
Tiberius,19.937860335288352,?
Carl,19.107116154651337,M
Cotton Army,15.784139432103277,?
Mommy,13.291906890192234,F
Ryujin,12.46116270955522,?
Osage Nation,11.630418528918204,?
Ragnorak Intelligence Fields,10.79967434828119,?
Tomoko,8.307441806370147,F
Roger,8.307441806370147,M
Raccoon,6.645953445096117,?
Robspeak,5.815209264459102,?
Brutus,4.984465083822088,?
Bubba,4.153720903185073,?
Hugh,3.3229767225480584,M
Ty,3.3229767225480584,M
Mr. Zaytsev,3.3229767225480584,?
Jesus,3.3229767225480584,?
Sssh,2.492232541911044,?
Baldy,2.492232541911044,?
Nomura Castle,2.492232541911044,?
Dawn,2.492232541911044,?
Adachi Ward,2.492232541911044,?
Integrated Japan Self-Defense Force,1.6614883612740292,?
Supreme Court,1.6614883612740292,?
Brown,1.6614883612740292,?
NORAD,1.6614883612740292,?
Cluck,1.6614883612740292,?
Joey,1.6614883612740292,?
Tim,1.6614883612740292,?
Clack clack clack,1.6614883612740292,?
Morse,1.6614883612740292,?
