NAME,# MENTIONS / 100K WORDS,GENDER
Evan,1295.405982905983,M
Ben,1038.9957264957266,M
Grace,256.4102564102564,F
Sam,251.06837606837607,M
Claire,189.63675213675214,F
Cassie,162.92735042735043,F
Dumbo,146.9017094017094,?
Vosch,128.2051282051282,F
Zombie,118.8568376068376,M
Bob,109.50854700854701,M
Marika,108.17307692307692,F
Megan,106.83760683760684,F
Poundcake,85.47008547008546,?
Alex,81.46367521367522,M
Sammy,58.76068376068376,M
Dad,22.70299145299145,M
Sams,20.03205128205128,M
Wonderland,18.696581196581196,?
Sarge,14.69017094017094,?
Black Hawks,13.354700854700855,F
Dorothy,10.683760683760683,F
Flubby,8.012820512820513,?
Val,6.677350427350428,F
Ken,2.6709401709401708,?
William Shakespeare,2.6709401709401708,?
Havoline Oil,2.6709401709401708,?
Allison,2.6709401709401708,?
