NAME,# MENTIONS / 100K WORDS,GENDER
Grant,4297.069509248843,M
Christina,4175.349943750807,F
Karen,894.4543828264758,F
Carter,783.800232373716,M
Ray,547.7380447411615,M
Adam,252.66031020046844,M
Bailey,250.8160743595891,M
Grace,223.15253674639914,F
Tyler,186.2678199288125,M
Kyle,173.35816904265718,M
Mrs. Ward,132.7849805433119,F
Dr. Sue,101.43297124836324,F
Sam,97.74449956660457,M
Preston,95.90026372572524,M
Lucy,88.52332036220793,F
Ross,59.01554690813861,M
Mrs. Kaye,55.32707522637995,F
Mr. Carew,40.5731884993453,M
Buster,36.884716817586636,M
Olivia,31.352009294948637,F
Bobby,29.507773454069305,M
Campbells,22.13083009055198,?
Rosie,20.28659424967265,F
Mr. Campbell,11.06541504527599,?
Jeannette,9.221179204396659,F
Caroline,9.221179204396659,F
AGCT Enterprises,7.376943363517326,?
Donald,5.532707522637995,M
Richardson,5.532707522637995,M
