NAME,# MENTIONS / 100K WORDS,GENDER
Miss Fawlthorne,458.9093482802315,F
Miss Bodycote,200.9155355654745,F
Flavia,178.08422470576147,F
Miss Moate,178.08422470576147,F
Mrs. Bannerman,165.52700373291933,F
Clarissa Brazenose,160.96074156097671,F
Dorsey,134.70473407230676,M
Francesca,122.1475130994646,F
Marge,117.581250927522,F
Daffy,111.87342321259375,F
Collingwood,107.30716104065115,F
Jumbo,105.02402995467985,?
Van Arque,89.04211235288074,M
Wallace Scroop,71.91862920809598,M
Harriet,67.35236703615338,F
Mrs. Rainsmith,62.78610486421078,F
Scarlett,59.361408235253826,M
Ryerson Rainsmith,59.361408235253826,F
Elvina,55.936711606296875,F
Gremly,51.37044943435427,?
Fabian,51.37044943435427,M
Fitzgibbon,50.228883891368625,M
Female Academy,46.80418726241167,F
Sal,42.23792509046907,?
Buckshaw,34.246966289569514,?
Merton,33.10540074658387,M
Druce,31.963835203598215,?
Michael,28.539138574641264,M
Edith Cavell,28.539138574641264,?
Mrs. Mullet,28.539138574641264,F
Felicity,28.539138574641264,?
Dogger,26.25600748866996,?
Feely,25.114441945684312,M
William Palmer,23.97287640269866,M
Le Marchand,23.97287640269866,M
Gravenhurst,22.83131085971301,?
Dr. Rainsmith,20.54817977374171,?
Johannes,20.54817977374171,M
Beaux Arts Ball,19.40661423075606,?
Wentworth,18.26504868777041,?
Patricia Anne,18.26504868777041,F
Mary Jane,17.123483144784757,F
Jack,17.123483144784757,M
Kelly,17.123483144784757,M
Bishop,13.698786515827805,?
Danforth,12.557220972842156,M
Lacey,12.557220972842156,?
Daphne,12.557220972842156,F
Shakespeare,11.415655429856505,M
St. Tancred 's,11.415655429856505,?
Pinkham,10.274089886870854,F
LaBelle,9.132524343885205,M
Leo,9.132524343885205,M
Edward Kelly,9.132524343885205,M
Miss Dawes,9.132524343885205,F
Gladys,9.132524343885205,F
Alf,9.132524343885205,M
John Donne,7.990958800899554,M
Cynthia,7.990958800899554,F
Moatey,7.990958800899554,?
Phyllis,7.990958800899554,F
Bowles,7.990958800899554,?
Nelson,6.849393257913903,M
Miss de Luce,6.849393257913903,F
Dickens,6.849393257913903,M
Mildred Bannerman,6.849393257913903,?
Ophelia,4.566262171942602,F
Dante,4.566262171942602,M
Tarquin,4.566262171942602,?
Peter Pan,4.566262171942602,F
Miss Flavia,4.566262171942602,?
Miss Delaney,4.566262171942602,F
Beethoven,3.4246966289569514,M
Mr. Tugg,3.4246966289569514,?
Orange Crush,3.4246966289569514,?
BBC Home Service,3.4246966289569514,?
Emil Fischer,3.4246966289569514,M
Rugeley Poisoner,3.4246966289569514,?
Rook,3.4246966289569514,?
Royal Ontario Museum,2.283131085971301,?
Edgar Allan Poe,2.283131085971301,?
Sherlock Holmes,2.283131085971301,?
Keats,2.283131085971301,?
Miss Christie,2.283131085971301,?
Paul,2.283131085971301,?
Nicholas Nickleby,2.283131085971301,?
Mr. Gradgrind,2.283131085971301,?
Elizabeth,2.283131085971301,?
Barton,2.283131085971301,?
Labour,2.283131085971301,?
Cornelia Corwin,2.283131085971301,?
Dr. Darby,2.283131085971301,?
La Faune,2.283131085971301,?
Scheele,2.283131085971301,?
Humphrey Bogart,2.283131085971301,?
