NAME,# MENTIONS / 100K WORDS,GENDER
Roque,479.13207440970365,M
Augustus,327.8642388765373,F
Sevro,227.9571102918414,M
Aja,214.58925505867785,F
Mustang,208.96068443418793,F
Darrow,207.55354177806547,M
Bellona,147.74997889286016,F
Lorn,143.52855092449272,M
Victra,123.82855373877804,?
Tactus,112.57141248979822,F
Pliny,105.53569920918582,?
Ragnar,101.3142712408184,F
Quinn,100.61069991275716,M
Theodora,87.94641600765486,F
Mickey,87.94641600765486,M
Leto,85.83570202347114,M
Cassius,76.68927475867504,?
Fitchner,66.8392761658177,?
Eo,65.43213350969522,?
Karnus,64.02499085357273,?
Octavia,64.02499085357273,F
Sons of Ares,61.91427686938902,?
Daxo,56.98927757296035,F
Luna,55.582134916837866,M
Society,49.24999296428672,F
Institute,49.24999296428672,?
Rhea,46.43570765204176,F
Harmony,45.02856499591929,F
Kavax,45.02856499591929,?
Gray,42.91785101173557,M
Dan,42.214279683674334,M
Citadel,39.39999437142937,?
Julian,37.9928517153069,M
Dancer,35.17856640306194,?
Antonia,31.660709762755747,F
Evey,31.660709762755747,M
Reds,31.660709762755747,?
Mother,30.25356710663327,F
Venus,30.25356710663327,F
Jupiter,29.549995778572033,M
Pink,28.142853122449555,?
Pebble,26.735710466327077,?
Lysander,26.032139138265837,?
Cagney,25.3285678102046,M
Leanna,22.514282497959645,F
Agea,21.810711169898404,?
Julii,21.810711169898404,M
Andromedus,20.403568513775927,?
Brown,18.99642585765345,M
Lea,16.88571187346973,F
Kieran,15.478569217347255,M
Orion,14.774997889286016,?
Adrius,14.071426561224778,?
Thistle,14.071426561224778,?
Rath,13.367855233163539,M
Claudius,11.960712577041061,M
Valentin,11.960712577041061,M
Telemanus,11.960712577041061,?
Valles Marineris,9.849998592857343,F
Carver,9.849998592857343,M
Dio,9.146427264796104,?
Lykos,9.146427264796104,?
Lady Bellona,8.442855936734865,F
Kellan,7.7392846086736276,?
Browns,7.7392846086736276,?
Politico,7.7392846086736276,M
Olympus,7.035713280612389,?
Sun-hwa,7.035713280612389,?
Narol,6.33214195255115,?
Julius,6.33214195255115,M
Grimmus,6.33214195255115,?
Lilath,6.33214195255115,?
Podginus,6.33214195255115,?
Moira,5.628570624489911,F
Greens,5.628570624489911,?
EMP,5.628570624489911,?
Cylus,5.628570624489911,?
Triton,4.9249992964286715,?
Loran,4.9249992964286715,M
Gas Giants,4.9249992964286715,?
Board of Quality Control,4.9249992964286715,?
Senate,4.9249992964286715,?
Primus,4.221427968367433,?
Odysseus,4.221427968367433,M
Pixies,4.221427968367433,?
Saturn,4.221427968367433,?
Legates,4.221427968367433,?
Rotback,4.221427968367433,?
Varga,4.221427968367433,M
Goblin,4.221427968367433,?
Agrippina,3.5178566403061944,?
RipWings,3.5178566403061944,?
Gaius,3.5178566403061944,?
Pelus,3.5178566403061944,?
Marcel,3.5178566403061944,M
Vanguard,2.8142853122449556,?
Mozart,2.8142853122449556,M
Fencor,2.1107139841837164,?
Department of Energy,2.1107139841837164,?
Vespasian,2.1107139841837164,?
Lucifer,2.1107139841837164,M
Licenus,2.1107139841837164,?
Tiberius,2.1107139841837164,?
Bronzie,2.1107139841837164,?
Alfrún,1.4071426561224778,?
HUD,1.4071426561224778,?
Callisto,1.4071426561224778,?
Alia Snowsparrow,1.4071426561224778,?
MineMagistrate Timony,1.4071426561224778,?
Calisto,1.4071426561224778,?
Atlantic Fleet,1.4071426561224778,?
