NAME,# MENTIONS / 100K WORDS,GENDER
Catarina,5686.370784677895,F
Eli,3562.965651217898,M
Rafe,1394.729913398658,M
Ridley,500.964213792171,M
Emma,371.45357897658135,F
Jake,261.1560603149528,M
Tuttle,120.97147208049584,M
Kitten,95.35398387521437,?
Malcom,94.64238698062321,M
Dawn,86.81482114012054,F
David,73.29448014288866,M
Tracy Benoit,70.44809256452405,F
Drake,59.062542251065615,M
Elijah,51.23497641056294,M
Joshua,46.25379814842488,M
Bernard,43.40741057006027,M
Jase,24.19429441609917,M
God,16.366728575596497,?
Dan,14.23193789182304,M
Mulligan,14.23193789182304,M
DEA,13.520340997231887,?
Marcel,11.385550313458433,M
Kyle,7.827565840502672,M
Ms. Benoit,7.11596894591152,F
Andraya,5.692775156729216,?
Trey,3.55798447295576,?
Dr. Mason,1.423193789182304,?
Mr. Perez,1.423193789182304,?
