NAME,# MENTIONS / 100K WORDS,GENDER
Ella,2106.377081811081,F
Tate,1482.778603643327,M
Sofie,821.3862783138904,F
Mila,483.7612436695306,F
Conner,335.1054448335811,M
Aidan,231.80226259165008,M
Matthew,196.5280052407468,M
darlin,157.47436317367533,?
Els,138.57743959283428,M
Kye,132.27846506588727,?
Carla,118.42072110660385,F
Ajax,76.84748922875356,?
Leila,54.17118093174431,F
Marc,52.91138602635491,M
Dad,45.35261659401849,M
Tay,45.35261659401849,M
Sof,39.05364206707148,?
Mimi,35.27425735090327,F
Lucas,34.01446244551387,M
Nina,31.494872634735064,F
Mr. Burke,23.936103202398648,?
Ian,15.11753886467283,M
Stacey,15.11753886467283,F
Carlos,15.11753886467283,M
Mr. Lee,13.857743959283429,M
Hooper,13.857743959283429,M
Jodie,13.857743959283429,F
Bunna,12.597949053894027,?
Jesus,11.338154148504623,M
Cathy,11.338154148504623,F
Doc,10.078359243115221,?
Harvard,8.818564337725817,?
Moscato,8.818564337725817,?
Olaf,8.818564337725817,?
Richard,7.558769432336415,M
Diane,7.558769432336415,F
Yax,5.039179621557611,?
Hamilton Enterprises,5.039179621557611,M
Peez,3.7793847161682077,?
Miss Sofie,3.7793847161682077,?
Joey,3.7793847161682077,?
Hamiltons,3.7793847161682077,?
Miss Dawson,3.7793847161682077,?
Elmo,3.7793847161682077,?
Penelope,3.7793847161682077,F
Motherfucker,2.5195898107788053,?
Immy,2.5195898107788053,?
Mickey Mouse,2.5195898107788053,?
NOLA,2.5195898107788053,?
Blondie,2.5195898107788053,?
Facebook,2.5195898107788053,?
Kay,2.5195898107788053,?
Burkes,2.5195898107788053,?
