NAME,# MENTIONS / 100K WORDS,GENDER
Alex,2869.332520689097,M
Violet,458.06470044854154,F
Charlene,316.16939823059414,F
Darren,166.6555562962469,M
Sidney,118.08736560419781,M
Alex. You,71.42380984124868,?
Melvin,71.42380984124868,M
Butterson,61.900635195748855,?
Daisy,50.47282562114906,?
Robbie,49.520508156599085,M
Ms. Bullock,48.5681906920491,F
Hawks,43.80660336929919,?
Kirk,42.854285904749204,M
Dick,39.99733351109926,M
Janette,38.092698581999294,F
Vi,21.903301684649595,?
Steve,19.99866675554963,M
Dean,19.99866675554963,M
Fred,18.094031826449665,M
Jimmy,15.237079432799717,M
Angelica,13.332444503699753,F
Char,12.380127039149771,M
Sid,11.427809574599788,M
Reid,11.427809574599788,M
Skye,10.475492110049807,F
Randy,10.475492110049807,M
Cockburn,10.475492110049807,M
Jesus,10.475492110049807,M
Victoria,9.523174645499823,?
Randall,8.570857180949842,M
NHL,7.618539716399859,?
Lydia,6.666222251849876,F
Gene,6.666222251849876,M
Spiderman,5.713904787299894,?
Louis,5.713904787299894,M
Tom Jones,5.713904787299894,?
Dave,4.761587322749912,?
Facebook,3.8092698581999294,?
Denny,3.8092698581999294,M
YouTube,2.856952393649947,?
Starbucks,1.9046349290999647,?
Tim Horton,1.9046349290999647,?
Tolstoy,1.9046349290999647,?
University of Illinois,1.9046349290999647,?
