NAME,# MENTIONS / 100K WORDS,GENDER
Caitlin,1225.1121704991588,F
Tom,846.5367358384744,M
Kaiser,656.5479528883903,M
Forrest,639.0213123948402,M
Walt,440.97027481772295,M
Sonny,240.11497476163768,M
Snake,233.4548513740886,M
Billy,214.5260796410544,M
Henry,211.02075154234436,M
Dennis,194.8962422882782,M
Marcello,180.173864273696,M
Frank,173.16320807627594,M
Ozan,152.1312394840157,M
Penn Cage,143.3679192372406,M
Annie,139.16152551878855,F
Brody Royal,138.10992708917556,M
Dwight,125.1402131239484,M
Jordan,118.83062254627033,M
Oswald,112.17049915872126,M
Peggy,106.21144139091419,F
Carl,103.40717891194616,M
Melba,99.90185081323612,F
Mackiever,92.54066180594504,M
FBI,92.54066180594504,?
Viola,89.385866517106,F
Dad,80.97307908020191,M
Quentin,80.97307908020191,M
Double Eagles,68.00336511497476,M
Ferrie,64.49803701626472,M
Lincoln,64.49803701626472,M
Claude,62.3948401570387,M
Kennedy,58.88951205832866,M
Harold,57.83791362871565,M
Natchez Examiner,48.72406057206955,M
Byrd,48.72406057206955,M
Bone Tree,44.868199663488504,?
Danny,42.414469994391474,M
Sheriff Dennis,39.960740325294445,M
Glenn Morehouse,39.25967470555244,M
Elam,37.50701065619742,M
Drew,34.00168255748738,M
Shad,31.898485698261357,M
Kirk,31.19742007851935,M
Jamie,30.846887268648345,M
Penn.,29.44475602916433,?
Toby Rambin,29.094223219293326,M
Ray,29.094223219293326,M
JFK,27.341559169938307,?
Bureau,26.991026360067302,M
Knoxes,26.289960740325295,?
Mose,24.887829500841278,M
Double Eagle,23.836231071228266,M
Pooky Wilson,23.485698261357264,M
Castro,23.13516545148626,M
Grimsby,23.13516545148626,M
Doris,21.031968592260235,F
Terry,19.980370162647223,M
Alois,19.980370162647223,M
Spanky,18.227706113292204,?
Baton Rouge,17.877173303421202,?
John Kennedy,17.526640493550197,M
Wilma,17.526640493550197,F
Baldwin,16.82557487380819,M
Jesus,16.12450925406618,M
Jimmy Revels,15.773976444195176,?
Sleepy Johnston,15.773976444195176,M
Mrs. Sexton,15.773976444195176,F
Daddy,14.37184520471116,M
Concordia Parish,14.37184520471116,?
Redbone,14.021312394840157,?
Doc,14.021312394840157,?
Hunt,13.320246775098148,M
Keisha,13.320246775098148,F
Bobby,12.969713965227145,M
Ellis,12.268648345485138,M
Abbott,11.918115535614133,M
Frank Junior,11.217049915872126,M
Agent Kaiser,10.866517106001123,M
Dunn,10.165451486259114,M
Luther Davis,9.81491867638811,M
Concordia Parish Sheriff 's Office,9.81491867638811,?
Albert Norris,9.81491867638811,M
Pithy Nolan,9.464385866517105,M
CIA,9.464385866517105,?
Eladio Cruz,9.113853056646102,M
Oakley,9.113853056646102,M
Boyd,9.113853056646102,M
Regan,8.763320246775098,M
Katrina,8.763320246775098,?
Mafia,8.763320246775098,?
APB,8.412787436904095,?
Ervin,8.412787436904095,M
Black Team,8.412787436904095,M
Banister,8.06225462703309,M
John McCrae,8.06225462703309,M
Sam Abrams,7.361189007291083,M
Marchand,7.361189007291083,M
Mac,7.361189007291083,M
Natchez DA,7.0106561974200785,?
Carcano,7.0106561974200785,?
Fidel,6.660123387549074,M
Lionel,6.660123387549074,M
Jackson,6.309590577678071,M
RFK,6.309590577678071,?
Mrs. Cage,6.309590577678071,F
Edelweiss,6.309590577678071,?
CPSO,5.959057767807066,?
Triton,5.959057767807066,?
Katy,5.959057767807066,F
Louisiana State Police,5.959057767807066,?
Nick,5.959057767807066,M
Allard,5.959057767807066,M
Ku Klux Klan,5.959057767807066,M
Hoover,5.608524957936063,M
Leo Spivey,5.608524957936063,M
Kennard,5.608524957936063,M
Victoria,5.257992148065059,F
Maria,5.257992148065059,F
Carmelita,5.257992148065059,F
Texas Ranger,4.907459338194055,?
Jack,4.907459338194055,M
Swan Norris,4.907459338194055,?
Bouchard,4.907459338194055,M
Sheila,4.556926528323051,F
Darius,4.556926528323051,M
Gram,4.556926528323051,?
Jackie,4.556926528323051,F
Duncan,4.556926528323051,?
Dr. Robb,4.556926528323051,M
Larry,4.556926528323051,M
Marina,4.556926528323051,F
Wells,4.556926528323051,M
Shadrach Johnson,4.2063937184520475,M
Gary,4.2063937184520475,M
Trafficante,4.2063937184520475,M
Jim Garrison,4.2063937184520475,M
Cait,4.2063937184520475,?
Mel,4.2063937184520475,M
Sam Cooke,3.855860908581043,F
Audi,3.855860908581043,?
Billy Ray,3.855860908581043,M
Dr. Dawes,3.5053280987100393,M
John Masters,3.5053280987100393,?
Monroe,3.5053280987100393,M
Xerxes,3.1547952888390354,?
Walmart,3.1547952888390354,?
Mr. Turner,2.8042624789680315,M
Jericho Hole,2.8042624789680315,?
Giancana,2.8042624789680315,M
Dr. Elliott,2.8042624789680315,M
Hiram,2.8042624789680315,?
Boo,2.8042624789680315,M
Churchill Farms,2.8042624789680315,M
Hoffa,2.8042624789680315,M
Brother Henry,2.8042624789680315,M
Casey Whelan,2.8042624789680315,M
Bill McDonald,2.8042624789680315,M
Oliver Stone,2.8042624789680315,M
House Select Committee,2.8042624789680315,M
Tahoe,2.4537296690970276,?
Mrs. Williams,2.4537296690970276,F
Martin Luther King,2.4537296690970276,?
Isbell,2.4537296690970276,M
NOPD,2.4537296690970276,?
Bic,2.4537296690970276,?
Mack,2.4537296690970276,M
Joe Louis Lewis,2.4537296690970276,?
Gates Brown,2.4537296690970276,M
Justice Department,2.4537296690970276,M
Jap,2.1031968592260237,?
Sherry,2.1031968592260237,F
Abramses,2.1031968592260237,?
Delano Payton,2.1031968592260237,M
Kennedys,2.1031968592260237,?
Huey Long,2.1031968592260237,M
