NAME,# MENTIONS / 100K WORDS,GENDER
Reyes,1852.0521603269035,M
Denise,382.18857039841356,F
Gemma,222.34240730725318,F
Beep,189.8924343488973,?
Cookie,186.28688179796887,?
Osh,174.2683732948741,?
Beatrice,147.82765458806563,F
Garrett,139.4146986358993,M
Duff,118.98323418063818,M
Quentin,111.77212907878132,M
Bob,109.36842737816237,M
Charley,102.1573222763055,M
Mo,91.34066462352023,F
Faris,86.53326122228232,M
Angel,86.53326122228232,M
Mr. Wong,86.53326122228232,M
Lucifer,85.33141037197284,M
Mrs. Loehr,81.72585782104441,F
Katherine,78.12030527011598,F
Sheila,56.4869899645454,F
Mr. Alaniz,52.88143741361697,M
God,49.27588486268854,M
Colton Ellix,44.46848146145064,M
Donovan,43.26663061114116,M
Jonny,40.86292891052221,M
Ashley,37.25737635959378,F
Dad,34.853674658974825,M
Cook,32.449972958355865,M
Howard,30.046271257736915,M
Artemis,28.84442040742744,?
Bianca,26.440718706808486,F
Lucille,22.835166155880056,F
Strawberry,22.835166155880056,M
Stephen,20.431464455261104,M
Mary Elizabeth,19.229613604951627,F
Earl,18.02776275464215,M
Hildie,18.02776275464215,?
Daeva,18.02776275464215,?
Mr. Loehr,16.82591190433267,M
Marika,16.82591190433267,F
Robert,16.82591190433267,F
Jessica,15.624061054023196,F
Bea,15.624061054023196,F
Michael,13.220359353404243,M
Blue,12.018508503094766,?
Nate,12.018508503094766,M
David,9.614806802475814,M
Ubie,9.614806802475814,?
Miss Charlotte,9.614806802475814,?
Amador,9.614806802475814,?
Eric,9.614806802475814,M
Hobbs,9.614806802475814,M
Uzan,8.412955952166335,F
Tommy,8.412955952166335,M
Olivia Dern,8.412955952166335,F
Mr. Ellix,7.21110510185686,M
Charles,7.21110510185686,M
Lando,7.21110510185686,M
Pari,6.009254251547383,F
Wyatt,6.009254251547383,?
FBI,6.009254251547383,?
Ms. Davidson,4.807403401237907,F
Father Glenn,4.807403401237907,M
Kowalski,3.60555255092843,?
Caleb,3.60555255092843,?
James Bond,3.60555255092843,?
Carson,3.60555255092843,?
Harley,3.60555255092843,?
Taft,3.60555255092843,?
Fed,2.4037017006189534,?
Piper,2.4037017006189534,?
Buddha,2.4037017006189534,?
Will Robinson,2.4037017006189534,?
Nada,2.4037017006189534,?
Greg Nusser,2.4037017006189534,?
Noah,2.4037017006189534,?
