NAME,# MENTIONS / 100K WORDS,GENDER
Dawn,4976.299046554801,F
Serina,1351.7654056197393,F
Candace,1131.8782329722617,F
Ken,697.5109492997855,M
Renee,569.5438242344502,F
Jeff,486.6355460231062,M
Jamie,427.1578681758376,M
Scott,391.11079069264457,M
Vicky,385.70372907016565,F
Elaine,263.14366562730925,F
Tim,227.09658814411623,M
Lindsay,158.60714092604942,F
Susan,61.28003172142819,F
Mrs. Frazier,45.05884685399131,F
Covington,37.8494313573527,M
Daddy,30.640015860714094,M
Samantha,28.83766198655444,F
Victoria,27.035308112394787,F
Mr. Murray,27.035308112394787,M
Mrs. Welch,27.035308112394787,F
Tom,21.62824648991583,?
Pauline,21.62824648991583,F
Buddy,19.825892615756178,M
Mrs. Caldwell,16.22118486743687,F
Mrs. Cashman,16.22118486743687,F
John,10.814123244957916,M
Covington High School,10.814123244957916,?
Roland Moore,7.20941549663861,M
Coke,5.407061622478958,?
Toyota,5.407061622478958,?
Cinderella,3.604707748319305,?
Billy,3.604707748319305,?
Abraham Lincoln,3.604707748319305,?
Mrs. Tremont,3.604707748319305,?
Red Sox,3.604707748319305,?
Weaver,3.604707748319305,?
