NAME,# MENTIONS / 100K WORDS,GENDER
Phillip,604.4449136884338,M
Jack,578.0499392915589,M
Ruth-Anne,543.7364725756216,F
Clee,464.5515493849971,F
Suzanne,374.80863643562265,F
Kate,257.35100036952963,F
Rick,237.55476957187352,M
Carl,159.68959510109275,M
Kubelko Bondy,108.21939502718682,M
Cheryl,91.06266166921819,F
Rachel,84.46391806999947,F
Jim,81.82442063031199,M
Michelle,77.86517447078076,F
Dana,77.86517447078076,F
Carrie Spivack,59.38869239296838,F
Kirsten,56.7491949532809,M
Dr. Broyard,52.78994879374967,?
Tammy,42.23195903499973,F
Amy,32.993717996093544,F
Ralphs,31.673969276249803,F
Kristof,30.35422055640606,M
Gary,27.714723116718577,M
Mary,26.394974396874836,F
Sarah,25.075225677031092,F
Dr. Kulkarni,23.75547695718735,M
Carla,22.43572823734361,F
Phil Bettelheim,21.115979517499866,M
Darren,19.796230797656126,M
NICU,17.156733357968644,?
Keith,15.836984638124902,M
Philomena Family Services,13.197487198437418,F
Mark Kwon,11.877738478593676,M
Mrs. Beebe,11.877738478593676,F
Baby Boy Stengl,11.877738478593676,M
Maria,11.877738478593676,F
Jens,11.877738478593676,M
Carol,10.557989758749933,F
Nancy,9.238241038906192,F
Lin,9.238241038906192,M
Nakako,9.238241038906192,?
Helge Thomasson,7.918492319062451,M
Shamira Tye,6.598743599218709,?
Jay Jay,6.598743599218709,M
Brown,6.598743599218709,M
Dr. Binwali,6.598743599218709,?
Tupperware,5.278994879374967,?
Heidi,3.9592461595312254,F
Cathy,3.9592461595312254,?
Volvo,2.6394974396874833,?
John Lennon,2.6394974396874833,?
Kevin,2.6394974396874833,?
