NAME,# MENTIONS / 100K WORDS,GENDER
Garrett,1802.6367196372921,M
Hannah,1343.80025622155,F
Justin,322.5484049754227,M
Allie,268.03318159929495,F
Cass,170.81436657853374,M
Dean,113.57338203359954,M
Logan,112.66479497733076,M
Cindy,87.22435740180445,F
Wellsy,67.23544216389094,?
Phil Graham,62.69250688254695,M
Tucker,59.966745713740565,M
Sean,54.515223376127786,M
Devon,53.606636319858985,M
Beau,50.8808751510526,M
Rob,49.9722880947838,M
Mary Jane,45.42935281343982,F
Birdie,45.42935281343982,M
Jimmy,44.52076575717102,M
Briar,43.61217870090223,?
Aaron,40.88641753209584,M
Jesus,38.16065636328945,M
Nell,32.70913402567667,F
MJ,28.16619874433269,M
Tolbert,24.531850519257503,?
Jae,22.71467640671991,M
Fiona,21.806089350451114,F
Mr. Graham,20.897502294182317,M
Dex,19.98891523791352,?
Kendall,18.171741125375927,?
Lisa,17.26315406910713,F
Jensen,15.44597995656954,M
Simms,15.44597995656954,M
Stella,14.537392900300743,F
Dexter,14.537392900300743,M
Braxton,14.537392900300743,F
Tracy,13.628805844031946,?
Natalie,13.628805844031946,F
Meg,10.903044675225557,F
Anthony,10.903044675225557,M
Brad,10.903044675225557,M
Cassidy Donovan,9.99445761895676,M
Joanna,9.99445761895676,F
Della,9.085870562687964,F
Carole,8.177283506419167,F
Napoleon,8.177283506419167,M
Tiffany,8.177283506419167,F
Harvard,7.2686964501503715,?
Jeremy,7.2686964501503715,M
Malone,7.2686964501503715,M
Bristol House,6.360109393881575,?
Han-Han,6.360109393881575,?
Megan,6.360109393881575,F
Loverboy,6.360109393881575,?
Nana,5.451522337612778,F
Lane,5.451522337612778,M
Eastwood,5.451522337612778,?
Han,4.542935281343982,?
Hastings,4.542935281343982,?
Kant,4.542935281343982,M
Nicole,4.542935281343982,?
Nat,4.542935281343982,?
Black Sabbath,4.542935281343982,?
Hemingway,4.542935281343982,M
Rangers,3.6343482250751857,?
Paulson,3.6343482250751857,?
Bruins,3.6343482250751857,?
Miley,3.6343482250751857,?
Kay,3.6343482250751857,M
Ollie,2.725761168806389,?
Mark,2.725761168806389,?
Lynyrd Skynyrd,2.725761168806389,?
Ryan Gosling,2.725761168806389,?
TMI,2.725761168806389,?
Benedict Arnold,2.725761168806389,M
Ergo,2.725761168806389,?
Lady Gaga,2.725761168806389,?
Brown,1.8171741125375929,?
Mona,1.8171741125375929,?
Danny,1.8171741125375929,?
John,1.8171741125375929,?
Joe,1.8171741125375929,?
Susan,1.8171741125375929,?
Hollis,1.8171741125375929,?
Queen,1.8171741125375929,?
Chazz,1.8171741125375929,?
Dick,1.8171741125375929,?
Emily,1.8171741125375929,?
