NAME,# MENTIONS / 100K WORDS,GENDER
Adam,3105.1595116187477,M
Rob,2887.7510831035843,M
Frankie,436.39228042536433,M
Zeke,419.06262307995274,M
Berkle,404.883812524616,M
Tiffany,395.4312721543915,F
Gibbs,332.41433635289485,M
Russell,236.31350925561244,M
Cynthia,217.40842851516345,F
Bill,192.20165419456478,M
Jonnie,130.76014178810556,F
Kennedy,129.18471839306812,M
Darling,102.40252067743207,M
Dove,97.67625049231981,?
Koletar,96.10082709728239,F
Gould,80.34659314690823,F
Buck Constantine,75.62032296179598,?
FBI,75.62032296179598,?
McLellan,74.04489956675857,F
Azure,66.16778259157148,M
Doc,58.2906656163844,M
Conway,50.41354864119732,M
Bridget,42.53643166601024,F
John Doe,40.961008270972826,M
Terry,33.08389129578574,M
Jack Elkins,28.357621110673495,F
Bureau,18.905080740448994,?
Dan,18.905080740448994,M
Tucker,18.905080740448994,M
Gaura,18.905080740448994,?
Billy,17.32965734541158,M
Mr. Gibbs,15.754233950374163,M
Jesus,14.178810555336748,?
Josephs,11.027963765261914,M
Douglas,11.027963765261914,?
Gray Wolf,11.027963765261914,M
Robbie,11.027963765261914,?
Mrs. Joseph,11.027963765261914,F
Chris,9.452540370224497,M
Roger,9.452540370224497,M
Lang,7.877116975187081,?
Henry,7.877116975187081,?
Nearby Sheriff 's Office,6.301693580149665,?
Ken,6.301693580149665,?
Black,6.301693580149665,?
Alfredo,6.301693580149665,?
Shane,3.1508467900748327,?
Robert Hansen,3.1508467900748327,?
NPS,3.1508467900748327,?
