NAME,# MENTIONS / 100K WORDS,GENDER
Sophie,1611.755929145197,F
Delilah,1235.2747271812489,F
Oliver,1122.5038602335223,F
Liam,674.8902652717778,M
Tanner,442.40878571800346,M
Jenny,312.288554624473,F
Laurel,235.95135238293517,F
Clara,170.02376862887976,F
Elaine,137.05997675185205,F
Stephen,131.85516750811084,M
Mr. Wyatt,131.85516750811084,M
Matt,107.56605770398515,M
Braden,91.9516299727615,M
Daddy,65.92758375405542,?
Jonah,64.192647339475,M
Scott,64.192647339475,M
Kelsey,55.51796526657298,F
Colette,50.31315602283176,F
Addison,46.84328319367095,M
Kristen,36.433664706188516,F
Miss Graham,32.96379187702771,F
Frank,32.96379187702771,M
Corey,31.228855462447303,M
Elizabeth,19.084300560384463,F
Isabelle,19.084300560384463,F
Wyatt Enterprises,15.614427731223651,M
Daphne,13.879491316643245,F
Francesca,13.879491316643245,F
Monet,12.14455490206284,M
Dr. Noor,8.674682072902028,F
Cruella,8.674682072902028,?
Dr. Pettifeur,6.939745658321622,?
Marcus,5.204809243741217,M
Van Gough,3.469872829160811,?
Massachusetts General Hospital,3.469872829160811,?
Blue Moon,3.469872829160811,?
Frederick,3.469872829160811,?
Jayce,3.469872829160811,?
