NAME,# MENTIONS / 100K WORDS,GENDER
Miller,4075.6639107631386,M
William,642.3723946131407,M
Nan,437.56896056589227,F
Olivia,327.98778736718003,F
Charlie,223.6967397711643,M
Gregory,190.4445216970723,M
Harry,156.43657139402367,M
Sophia,93.71079639062287,F
George,87.66493855896978,M
Ted,83.13054518522996,M
Gracie Taylor,80.10761626940342,F
Tony,64.23723946131406,M
Josephine,52.14552379800789,F
Cassie,35.519414760961894,F
Sylvie,32.49648584513535,F
Livy,30.229289158265445,?
Ben,27.962092471395536,M
Enid,20.404770181829175,F
Mrs. Taylor,19.64903795287254,F
Carl,19.64903795287254,M
Anne,15.114644579132722,F
Jesus,13.603180121219449,M
Will,12.847447892262814,M
Daddy,12.091715663306177,?
Ekaterina,10.580251205392905,F
Mr. Hart,8.313054518522996,?
Del,7.557322289566361,?
Mr. Anderson,5.2901256026964525,M
Miss Taylor,5.2901256026964525,F
Nana Josie,4.5343933737398165,?
Wendy,3.7786611447831806,F
Vladimir,3.022928915826544,?
Paul,3.022928915826544,M
Nana Josephine,2.2671966868699083,?
Tesco,2.2671966868699083,?
Cedar Ward,2.2671966868699083,?
Mr. Screw-Loose,2.2671966868699083,M
Ralph Lauren,1.511464457913272,?
Great-Nana,1.511464457913272,?
Ms. Phillips,1.511464457913272,?
