NAME,# MENTIONS / 100K WORDS,GENDER
Kim,1844.1103094868856,M
Bryant,778.7741891983009,M
Nicola,605.7132582653451,F
William,411.30065403546627,M
Lucy,370.8448519991909,F
Teresa,341.62677275076976,F
Stacey,328.1415054053447,F
Richard Croft,223.63068347829994,M
Melanie,219.13559436315825,F
Beth,201.1552379025914,F
Victor,179.8035646056683,M
Tom Curtis,169.68961409659946,M
Louise,165.19452498145776,F
Arthur,150.5854853572472,M
Cerys,119.11986155125525,?
Dawson,106.75836648461556,M
Mary Andrews,76.41651495740903,F
Woody,74.16897039983817,M
Keats,65.17879216955477,M
Erica,64.05501989076933,F
Daniel,57.31238621805677,M
Marta,53.941069381700494,F
Kev,47.19843570898793,M
Nina,47.19843570898793,F
Jesus,43.82711887263165,F
Bethany Adamson,42.70334659384622,F
Mrs Pearson,39.33202975748994,F
Mikey,38.20825747870452,M
Dina,38.20825747870452,F
Tracy,38.20825747870452,M
Mr Croft,31.465623805991953,M
Paula,30.341851527206526,F
Stace,30.341851527206526,?
Milton,28.094306969635674,M
Lou,26.970534690850247,M
Matthews,26.970534690850247,M
Maureen,24.722990133279392,F
Ms Wade,20.227901018137686,F
Joanna Wade,19.10412873935226,F
Tina,19.10412873935226,F
Mrs Croft,19.10412873935226,F
Courtney,19.10412873935226,?
Keith,17.98035646056683,M
Doc,17.98035646056683,?
Dan,13.485267345425124,M
Mr Payne,13.485267345425124,M
Hannah,13.485267345425124,F
Billy,12.361495066639696,M
Woodward,12.361495066639696,M
Cath,12.361495066639696,?
Dudley,11.237722787854269,M
Miss Adamson,11.237722787854269,F
Wharton,11.237722787854269,M
Brian Harris,10.113950509068843,M
Rowley,10.113950509068843,M
Facebook,8.990178230283416,?
Harrison,8.990178230283416,M
Mr Connop,8.990178230283416,M
Caitlin,7.866405951497988,F
Ben,7.866405951497988,?
Brenda,6.742633672712562,F
Laura Yates,6.742633672712562,?
Bill,6.742633672712562,?
Lily,6.742633672712562,F
Rhianna,5.618861393927134,?
Mr Harris,5.618861393927134,M
SOCO,5.618861393927134,?
Dundee,4.495089115141708,?
Tupperware,4.495089115141708,?
CCTV,4.495089115141708,?
Amy,4.495089115141708,F
Brindleyplace,4.495089115141708,?
Coke,4.495089115141708,?
Mick,3.371316836356281,?
Conservative,3.371316836356281,?
Cohen,3.371316836356281,M
Joseph,3.371316836356281,?
Mr Whitehouse,3.371316836356281,?
Keegan,3.371316836356281,M
Audi,3.371316836356281,?
Roxburgh,3.371316836356281,?
Miss Wyatt,3.371316836356281,?
Mrs Downs,3.371316836356281,?
Kawasaki Ninja,2.247544557570854,?
Johnnie Walker Blue,2.247544557570854,?
Principal Wyatt,2.247544557570854,?
Travis,2.247544557570854,?
West Midlands Police,2.247544557570854,?
Wood,2.247544557570854,?
Luce,2.247544557570854,?
Google,2.247544557570854,?
