NAME,# MENTIONS / 100K WORDS,GENDER
Carter,1825.0232716688736,M
Emma,1027.886670250285,F
Amanda,867.93491799195,F
Theresa,823.3582001494631,F
Cole,533.6095341732986,M
Andrea,482.477416648093,F
Noah,398.56830070929425,M
Gene,306.79270515123306,M
Thomas,226.81682902206546,M
Michael,144.21879301981042,M
AJ,115.37503441584833,M
Brian,112.75287454276088,M
Kevin,103.57531498695475,M
Peter,99.64207517732356,M
Ben,74.73155638299266,M
Drake,72.10939650990521,M
Mauricio,66.86507676373029,M
Bartel,57.68751720792417,M
Mallory,51.13211752520551,M
Bartels,44.57671784248686,M
Shavon,35.39915828668074,F
Andy,30.154838540505814,M
Dunvan,18.355119111612236,M
Aaron,15.732959238524773,M
Shelly,11.79971942889358,F
Leo,9.177559555806118,M
Miss Nathans,9.177559555806118,?
Cora,7.866479619262386,?
Joe,7.866479619262386,M
Smith,5.2443197461749245,M
Edward,3.933239809631193,?
Mitchell,3.933239809631193,?
Jack,3.933239809631193,?
Taser,2.6221598730874622,?
Molly Hobalt,2.6221598730874622,?
Jamis,2.6221598730874622,?
Emma Martins,2.6221598730874622,?
