NAME,# MENTIONS / 100K WORDS,GENDER
Iris,3121.954214407957,F
Beatrice,2887.116950492314,F
Doris,529.5350068686063,F
Max,430.5349838453451,M
Ramone,327.69775062738387,M
Nick,239.44191614928283,M
Brad,179.58143711196212,M
Suzanne,155.79073390482185,F
Bill,143.5116612817817,M
Tony,128.1628205029815,M
Mr. Wheeler,116.65118991888137,M
Randy,108.97676952948129,M
Carmichael,99.76746506220118,M
Mr. Thompson,93.62792875068111,M
First Bank of Cleveland,82.11629816658098,M
Mr. Halloran,80.58141408870095,M
Ms. Cunningham,72.13955166036085,F
Linda,64.46513127096075,F
Ellie,62.930247193080746,F
McDonnell,56.79071088156067,M
Amanda,43.744196219580516,F
Shirley,43.744196219580516,F
Teddy,42.2093121417005,M
Gladys,41.44187010276049,F
Jim,23.790703207140282,M
Francine,22.255819129260264,F
Rhonda Whitmore,19.186050973500226,F
Anthony McDonnell,17.651166895620207,M
Mrs. Capretta,16.8837248566802,F
Susie,16.11628281774019,F
Mr. Rothstein,14.581398739860171,M
Bethany,13.813956700920164,F
Pam,13.046514661980154,F
Evelyn,11.511630584100136,F
Ilene,10.744188545160126,F
Maxie,9.976746506220119,M
Jesus,9.976746506220119,?
Alistair Mercer,9.20930446728011,M
Mary,9.20930446728011,F
Darlene,9.20930446728011,F
FBI,8.4418624283401,?
Charles,7.67442038940009,M
William S. Thompson,7.67442038940009,M
Auditing Department,7.67442038940009,?
Theodore Halloran,6.906978350460082,M
Beverly,6.906978350460082,F
James Stone,5.372094272580063,M
Marietta,5.372094272580063,?
Covelli,5.372094272580063,M
Miss Baker,5.372094272580063,?
Ted,4.604652233640055,?
Sandra,4.604652233640055,F
Cleveland Real Estate Holdings Corp.,4.604652233640055,M
Stouffer,4.604652233640055,?
Joseph Rothstein,4.604652233640055,M
John Smith,4.604652233640055,M
Bea,3.837210194700045,F
Dennis,3.837210194700045,?
R. T. Halloran,3.837210194700045,?
Catholic,3.0697681557600363,?
University Hospitals,3.0697681557600363,?
Bruno,3.0697681557600363,M
Arnie,3.0697681557600363,?
Ella,3.0697681557600363,?
Mrs. Johnson,3.0697681557600363,F
Kucinich,3.0697681557600363,M
Hough,2.3023261168200273,?
Mazda,2.3023261168200273,?
IRS,2.3023261168200273,?
Dr. McCafferty,2.3023261168200273,M
Nixon,2.3023261168200273,M
FDIC,2.3023261168200273,?
Columbus Trust,2.3023261168200273,?
Chester,2.3023261168200273,?
Capital Bank,1.5348840778800181,?
Ricky,1.5348840778800181,?
Congress,1.5348840778800181,?
Mick,1.5348840778800181,?
Cleveland Police Department,1.5348840778800181,?
Jimmy Hoffa,1.5348840778800181,?
Mendoza,1.5348840778800181,?
Wheeler Reese Elliot Architects,1.5348840778800181,?
Mr. Wackerly,1.5348840778800181,?
