NAME,# MENTIONS / 100K WORDS,GENDER
Jessie,1431.3116360527906,F
Macy,1046.640118424619,M
Tyler,823.5514876050289,M
Dylan,820.4240768926047,M
John,770.3855054938182,M
Lana,581.6983925108938,F
Aiden,489.96101161311844,M
Lindsay,469.11160686362405,F
Ray,394.0537497654442,M
Jeremy,373.2043450159498,M
Ethan,300.2314283927194,M
Annie,278.3395534057503,F
Sarah,256.44767841878115,F
Tara,216.8338093947418,F
Helena,136.56360110918834,F
Wade,111.54431540979505,M
Nick Childs,106.33196422242145,M
Charlie Lott,88.6099701853512,M
Ellen,86.52502971040177,F
Luke,84.44008923545233,M
Tanya,41.6988094989888,F
Ryan,40.656339261514084,M
Howard,37.528928549089926,M
Janet,36.4864583116152,F
Bob Crawley,33.359047599191044,M
Peter Lane,32.31657736171632,M
Dean,31.274107124241603,M
Collier,31.274107124241603,M
Macy 's,29.18916664929216,M
Patricia Dune,26.061755936868003,F
Traci,23.976815461918562,F
Monica,22.93434522444384,F
Mr. Walker,21.89187498696912,M
Lacey Truman,19.806934512019684,M
Priscilla,19.806934512019684,F
Natalie,14.59458332464608,F
Coke,12.509642849696641,M
Marsha,11.46717261222192,F
Karen Walcott,10.4247023747472,?
Mr. Lane,10.4247023747472,M
Jean,10.4247023747472,?
Waldo Canyon,10.4247023747472,?
Wayne,9.382232137272482,M
Connor,9.382232137272482,M
Daltons,8.339761899797761,?
Mr. Dalton,8.339761899797761,?
Lou Bartlett,8.339761899797761,M
Frank Hobbs,7.29729166232304,M
Dalton Ranch,6.254821424848321,?
Ms. Hutton,6.254821424848321,F
APB,6.254821424848321,?
FBI,6.254821424848321,?
Layton Phillips,5.2123511873736,M
Buster,4.1698809498988805,M
Alden,4.1698809498988805,M
Mr. Crawley,4.1698809498988805,?
Stuart Long,4.1698809498988805,M
Robert,4.1698809498988805,M
Paul McDonald,3.1274107124241604,M
Timothy Wallace,3.1274107124241604,?
Patrick,3.1274107124241604,M
Abby,3.1274107124241604,F
DMV,2.0849404749494402,?
Mr. Childs,2.0849404749494402,?
Randy Weaver,2.0849404749494402,?
Giles Newton,2.0849404749494402,?
Mr. Long,2.0849404749494402,?
Wilmington Creek Police Department,2.0849404749494402,?
Parker,2.0849404749494402,?
Reno,2.0849404749494402,?
