NAME,# MENTIONS / 100K WORDS,GENDER
Nick,1675.1880949411814,M
Tina,1010.10101010101,F
Jones,320.0731595793324,M
Lacy,270.1916282163196,M
Flynn,234.85887683418548,M
Frankie,193.29093403167477,M
Christina,128.86062268778318,F
Tony,78.97909132477034,M
Carl,74.82229704451926,M
Yaris,70.6655027642682,M
Tim,60.27351706364052,M
Dakota,56.11672278338945,?
Leslie,54.03832564326392,F
Conrad,49.88153136301285,M
Martinez,49.88153136301285,F
Gary,47.80313422288731,M
Mack,43.64633994263624,M
David,43.64633994263624,M
Hemingway,39.48954566238517,M
Max,37.41114852225963,M
Kyle,33.25435424200856,M
Diego,20.783971401255354,M
Mr. Walker,20.783971401255354,M
Mrs. Mitchell,18.705574261129815,F
Richards,16.62717712100428,M
Jerry,14.548779980878747,M
Chrissy,14.548779980878747,?
Mrs. Crandall,12.470382840753212,F
Daddy,10.391985700627677,?
Mr. Mitchell,10.391985700627677,M
Mason,8.31358856050214,?
Rick,8.31358856050214,M
Nona,8.31358856050214,F
Walmart,6.235191420376606,?
Jack,4.15679428025107,?
Morelli,4.15679428025107,?
