NAME,# MENTIONS / 100K WORDS,GENDER
César,336.0783706158,M
Lupo,193.0662980133,M
Abuelo,139.4367707874,?
Papá,70.3142690295,?
Pablo,64.3554326711,M
Zeferina,63.1636653994,F
Jaguar Man,52.4377599542,M
Juquila,52.4377599542,?
Jaguar,52.4377599542,M
Jesus,47.6706908675,M
Alvin,40.5200872374,M
Payne,33.3694836072,M
Mamá,30.9859490639,?
Don Serafín,30.9859490639,?
Ooni,29.7941817922,M
Tío Martín,29.7941817922,?
Pancho,28.6024145205,M
Ted,27.4106472488,M
Raúl,26.2188799771,?
Benito Juárez,26.2188799771,?
D.F.,25.0271127054,?
SantaMaize,25.0271127054,?
SpongeBob,23.8353454337,M
Virgin,23.8353454337,?
Latuxí,22.6435781621,?
Diego Rivera,22.6435781621,M
Vera,22.6435781621,F
Migra,20.2600436187,?
Odiseo,19.068276347,?
Collins,17.8765090753,M
Axl Rose,16.6847418036,M
Maya,16.6847418036,F
UNAM,15.4929745319,?
Sofía,15.4929745319,?
Señora Ellen,14.3012072602,?
Tito,13.1094399886,?
NAFTA,10.7259054452,?
Señor Cacahuate,10.7259054452,?
Chevy Apache,9.5341381735,?
Héctor María,9.5341381735,?
Guelatao,9.5341381735,?
Santa Muerte,9.5341381735,F
Abuelita Clara,8.3423709018,F
Santa María,8.3423709018,?
Día de los Muertos,7.1506036301,?
Charbel,7.1506036301,?
Cortés,7.1506036301,?
Hilario,7.1506036301,?
Octavio Paz,7.1506036301,M
Zapotecos,7.1506036301,?
Coke,7.1506036301,?
Goyo,5.9588363584,?
Paquito,5.9588363584,M
Naldo,5.9588363584,?
Baby Jesus,5.9588363584,M
Juquilita,4.7670690867,?
Dr. Ramírez,4.7670690867,?
Luego,4.7670690867,?
Zapoteca,4.7670690867,?
Señor Rivera,4.7670690867,?
Minutemen,4.7670690867,?
Vicente Fernández,3.5753018151,?
Ministry of Food and Agriculture,3.5753018151,?
Monte Albán,3.5753018151,?
Pepsi,3.5753018151,?
Customer Service,3.5753018151,?
Dani,3.5753018151,?
Michael Jackson,3.5753018151,M
Porfirio Díaz,3.5753018151,?
Pitao,3.5753018151,?
Jesucristo,3.5753018151,?
Biche,3.5753018151,?
Mexican Air Force,2.3835345434,?
Nokia,2.3835345434,?
Neuróticos Anónimos,2.3835345434,?
Milenio Cross,2.3835345434,?
Ezequiel,2.3835345434,?
Frida Kahlo,2.3835345434,?
Chis,2.3835345434,?
Tejas,2.3835345434,?
Hidalgo,2.3835345434,?
Western Union,2.3835345434,?
Nica,2.3835345434,?
Catrina,2.3835345434,?
Moctezuma,2.3835345434,?
Señor Ron,2.3835345434,?
