NAME,# MENTIONS / 100K WORDS,GENDER
Darcie,455.1298534327591,F
Louis,448.70146567240937,M
Marcus,417.8452044227308,M
Dr. Bek,397.2743635896117,M
Nelson,186.42324505014142,M
Rick,84.8547184366161,M
Ms. Neuman,82.28336333247621,F
Floor Group,55.284134739007456,?
Christopher,51.42710208279763,M
Sam,48.855746978657756,M
Curtis,44.99871432244793,M
Christina,41.14168166623811,F
Raul,37.28464901002828,M
Joy,34.713293905888406,F
Mrs. Carroll,33.427616353818465,F
Stop & Shop,30.85626124967858,?
Paige,24.427873489328878,M
Clara Sue Borden,21.856518385188995,F
Romberg,15.42813062483929,M
Plácido Domingo,11.571097968629468,?
La Harpe,10.285420416559527,?
Arne Treholt,7.714065312419645,M
Brown,6.428387760349704,M
Jan Mayen,6.428387760349704,M
Wikipedia,3.8570326562098227,?
Winslow Homer,3.8570326562098227,M
Mr. Carroll,3.8570326562098227,M
Marie,3.8570326562098227,?
Coke,2.5713551041398817,?
MICHIE,2.5713551041398817,?
Carrolls,2.5713551041398817,?
Erica Hall,2.5713551041398817,?
