NAME,# MENTIONS / 100K WORDS,GENDER
Jax,2862.447589420748,M
Jess,366.4129646251645,F
Lily,270.5062154950879,F
Tabitha,266.8174943747003,F
Stella,130.33481292036052,F
Kristyn,98.36589654366831,F
Lil,67.62655387377197,?
Mr. Troy,66.3969801669761,M
Molly,61.47868533979269,F
Alden,60.24911163299684,M
Ben,52.87166939222172,M
Amy,50.41252197863001,F
Jerome,50.41252197863001,M
Josh,47.9533745650383,M
Landon,36.887211203875616,M
Keeley,34.42806379028391,M
Mr. Porter,30.739342669896345,M
Maeve,15.9844581883461,?
Ann Arbor,15.9844581883461,?
Susie,14.754884481550247,F
Becca,11.066163361162685,F
Denny,9.836589654366831,M
University of Michigan,7.377442240775124,?
miss Jax,6.14786853397927,F
Katie,6.14786853397927,F
Miranda,4.9182948271834155,?
Veronica,4.9182948271834155,F
Harry Potter,3.688721120387562,?
Anthony,3.688721120387562,M
Elvis,3.688721120387562,?
Whitney Houston,2.4591474135917077,?
Mrs. Madison,2.4591474135917077,?
Tiffany,2.4591474135917077,?
