NAME,# MENTIONS / 100K WORDS,GENDER
Brian,769.641902725815,M
Alessandra,540.4121384880337,F
Elena,478.6507512322585,F
Jacob,428.76655383336305,M
Marek,420.45252093354713,M
Terry,408.5753310766673,M
Jean,275.5508046796128,M
Haviland,262.48589583704495,M
Sean,199.5367895955817,M
Claire,184.09644278163788,F
Roswell,138.9631213254944,F
Colin,133.02452639705444,M
Peyton,112.8333036403587,M
Mr. Vanderhall,106.89470871191877,M
Alex,106.89470871191877,M
Sheila,93.82979986935091,F
Lily,86.70348595522299,F
Nick,78.38945305540709,M
NJSC,48.69647841320744,?
McBride,33.25613159926361,M
Mr. Haviland,28.505255656511668,M
Cathie,24.942098699447712,F
Mr. Sheppard,21.378941742383752,M
Lin,17.815784785319792,M
Carter,17.815784785319792,M
Einstein,15.44034681394382,M
Bill,14.252627828255834,M
Jeannie,13.06490884256785,F
Mr. Svoboda,10.689470871191876,M
Princeton,8.314032899815903,?
Mrs. Kelley,8.314032899815903,F
Mr. Russo,8.314032899815903,M
Morales,7.126313914127917,M
MIT,7.126313914127917,?
Frank,7.126313914127917,M
New Jersey State Police,7.126313914127917,?
Dr. Vanderhall,7.126313914127917,?
Ava,7.126313914127917,F
Mr. Peyton,5.938594928439931,M
Bloch,5.938594928439931,M
Jerry,4.750875942751945,?
Schrödinger,4.750875942751945,?
Dirac,4.750875942751945,?
Dr. Massey,4.750875942751945,?
Anna Majors,3.5631569570639585,?
Coke,3.5631569570639585,?
Leavy,3.5631569570639585,?
Geiger,3.5631569570639585,?
Swarthmore College,3.5631569570639585,?
Ms. Lin,2.3754379713759723,?
bush,2.3754379713759723,?
Mr. Egorov,2.3754379713759723,?
Ms. Majors,2.3754379713759723,?
Richardson,2.3754379713759723,?
Granite Run Health and Fitness Club,2.3754379713759723,?
Esposito,2.3754379713759723,?
