NAME,# MENTIONS / 100K WORDS,GENDER
Amon,4293.88374478369,M
Rick,554.2988014781301,M
Mayuko,501.60880133762345,F
Barrow,248.69680066319148,M
Sekido,170.7156004552416,M
GATA,118.02560031473493,?
Kitao,112.40533363308089,M
Fertilex,62.525466833401246,?
Kai Monju,56.20266681654044,?
Freg,37.9368001011648,?
Tezuka,32.316533419510755,M
BodyBank,28.803866743476977,?
Makesh,20.37346672099591,F
Blinder,20.37346672099591,M
FacePhone,18.265866715375644,?
Akane,16.158266709755377,F
Birla,13.348133368928355,?
GINZA,13.348133368928355,?
House of Blinding,11.943066698514844,?
ScrimpNavi,9.132933357687822,?
FlexiPedia,9.132933357687822,?
Liquidation Ministry,8.430400022481066,?
Ministry of Records,8.430400022481066,?
MyMedic,7.727866687274311,?
Mindfulator,7.727866687274311,?
Birlas,7.727866687274311,?
Ministry of Monitoring,7.727866687274311,?
Jinbocho,7.727866687274311,?
PennyPinch,7.025333352067555,?
Ministry of Access,6.3228000168608,?
District of Dreams,6.3228000168608,?
Judicial Brokers,5.620266681654044,?
Blinders,5.620266681654044,?
Eroyuki,4.917733346447289,?
Shinbashi,4.917733346447289,?
Tsukuda,4.215200011240533,?
Matsuda,4.215200011240533,M
Rashana,4.215200011240533,?
Anisha,3.5126666760337777,?
Career Calibration,3.5126666760337777,?
Saburo,3.5126666760337777,M
Absolute Choice Party,2.810133340827022,?
Mr. K.,2.810133340827022,?
Yomoko Holdings,2.1076000056202666,?
Chiyoda,2.1076000056202666,?
Capsize Solutions,2.1076000056202666,?
Hachiko Plaza,2.1076000056202666,?
Moderate Choice Party,1.405066670413511,?
Teleport Surprise,1.405066670413511,?
Buddhist,1.405066670413511,?
Scrimp Navi,1.405066670413511,?
TTY Group,1.405066670413511,?
LYS Dynamics,1.405066670413511,?
